股票名称,股票跌幅1,股票跌幅2,股票跌幅3,股票跌幅4,股票跌幅5,总跌幅,股票涨幅,
万里扬_1002434.csv,-4.875,-0.3736,-3.0193,-1.6627,-0.9412,-10.871799999999999,0.657,
上峰水泥_1000672.csv,-4.5171,-0.1555,-0.3101,-4.3736,-2.3878,-11.744100000000001,2.2838,
东方雨虹_1002271.csv,-3.4625,-0.3091,-0.5126,-4.4096,-0.439,-9.1328,3.212,
京能电力_0600578.csv,-4.1298,0.0,-1.1662,-0.2907,-1.9943,-7.581,0.0,
农尚环境_1300536.csv,-0.404,-0.0505,-9.9955,-4.8833,-0.8994,-16.2327,1.5213,
华微电子_0600360.csv,-5.5911,-0.1595,-4.7112,-0.1517,-1.1994,-11.8129,0.6768,
商赢环球_0600146.csv,0.0,-2.3138,-2.9474,-0.0701,-2.7948,-8.126100000000001,0.2961,
宇环数控_1002903.csv,-6.2708,-4.6561,-3.2258,-4.0766,-4.1431,-22.3724,0.8881,
宝馨科技_1002514.csv,-6.1314,-2.0029,-0.2853,-5.2703,-2.1164,-15.806299999999998,0.4666,
实达集团_0600734.csv,-1.4652,-6.078,-4.281,-2.8785,-2.4948,-17.1975,0.2478,
弘讯科技_0603015.csv,-6.0447,-2.1851,-3.1133,-0.6188,-1.9417,-13.9036,0.1399,
方直科技_1300235.csv,-6.5455,-0.6323,-0.0903,-3.5683,-0.3469,-11.1833,1.5564,
昂立教育_0600661.csv,-3.2091,-0.2824,-1.6204,-0.644,-0.046,-5.801900000000001,0.9751,
本钢板B_1200761.csv,-1.7316,-0.8584,-0.8511,-0.4237,-0.4219,-4.2867,0.8811,
海兰信_1300065.csv,-5.6962,-0.8783,-6.3455,-4.4893,-3.3098,-20.7191,1.2081,
深华发B_1200020.csv,-0.4149,0.0,-1.4315,-0.4073,-0.2033,-2.4570000000000003,0.0,
烽火电子_1000561.csv,-5.7692,-0.5102,-3.0902,-2.6474,-0.479,-12.495999999999999,1.2245,
爱朋医疗_1300753.csv,-1.2601,-0.1606,-3.4376,-2.1745,-0.696,-7.7288,3.1768,
理工环科_1002322.csv,-3.4134,0.0,-3.1824,-3.5988,-1.3388,-11.5334,0.6545,
迅游科技_1300467.csv,-6.3345,-6.2178,-10.0143,-2.772,-0.4141,-25.7527,1.2173,
金逸影视_1002905.csv,-3.3675,-0.0975,-0.1946,-4.0616,-0.5109,-8.2321,4.4949,
青岛啤酒_0600600.csv,-2.4544,-0.1418,-0.1618,-1.1,-1.5748,-5.4328,1.0397,
飞科电器_0603868.csv,-1.2726,-0.3172,-5.3786,-2.2343,-0.8059,-10.0086,1.6113,
