股票名称,股票跌幅1,股票跌幅2,股票跌幅3,股票跌幅4,总跌幅,股票涨幅,
捷荣技术_1002855.csv,-5.0459,-1.2681,-7.9233,-0.9909,-15.228200000000001,1.0628,
新开普_1300248.csv,-4.3722,0.0,-0.4464,-3.3441,-8.162700000000001,4.9238,
新时达_1002527.csv,-4.4928,-0.289,-1.5647,-1.8156,-8.1621,0.1517,
新联电子_1002546.csv,-2.0522,-1.6514,-2.3297,-0.3571,-6.3904,0.1905,
新黄浦_0600638.csv,-4.276,-1.0577,-4.4118,-0.1835,-9.929,0.5076,
方大集团_1000055.csv,-6.9909,-3.5191,-10.0264,-2.1935,-22.7299,0.817,
方正电机_1002196.csv,-3.1519,-2.7855,-0.9655,-1.7615,-8.6644,0.2959,
星宇股份_0601799.csv,-0.5278,-0.6348,-2.0414,-0.0135,-3.2175,0.0279,
智光电气_1002169.csv,-0.9276,-0.9191,-2.8571,-2.6087,-7.3125,0.1873,
欧普照明_0603515.csv,-2.3768,-2.1554,-2.0556,-3.6403,-10.2281,0.0297,
民生控股_1000416.csv,-5.8915,-0.9217,-4.6852,-2.0086,-13.507,0.1647,
汉邦高科_1300449.csv,-3.8503,-0.9534,-4.8866,-3.1707,-12.861,0.4449,
海创B股_0900955.csv,-0.9063,-0.3012,-1.1905,-2.3256,-4.723599999999999,0.0,
澳洋顺昌_1002245.csv,-1.7794,-1.2302,0.0,-4.2088,-7.2184,1.087,
火炬电子_0603678.csv,-5.7258,-0.4002,-1.0886,-1.1252,-8.339799999999999,3.7826,
爱婴室_0603214.csv,-5.2501,-0.5419,-5.5594,-1.2859,-12.6373,1.1762,
玉龙股份_0601028.csv,-5.3913,-4.1667,-5.2133,-1.248,-16.0193,0.3676,
电连技术_1300679.csv,-4.2593,-1.4149,-3.7135,-2.9431,-12.330799999999998,0.0967,
皖通科技_1002331.csv,-3.4946,-0.1789,-0.1786,-1.0601,-4.9122,0.2786,
福安药业_1300194.csv,-8.4061,-1.8221,-5.9476,-9.9819,-26.157700000000002,8.1049,
联络互动_1002280.csv,-4.8246,-5.0,-2.2403,-1.8,-13.8649,0.9217,
艾艾精工_0603580.csv,-5.3758,-0.1563,-2.9828,-5.3135,-13.828400000000002,0.1103,
苏州科达_0603660.csv,-1.3093,-1.1161,-3.9451,-3.7159,-10.0864,3.6139,
荣丰控股_1000668.csv,-6.2685,-0.6463,-3.8961,-0.6173,-11.4282,2.7129,
豫园股份_0600655.csv,-3.8855,-0.1021,-1.1111,-0.2016,-5.3003,0.5319,
迪马股份_0600565.csv,-5.4167,-0.2079,0.0,-3.6072,-9.2318,2.8634,
银河生物_1000806.csv,-5.0971,-5.0691,-5.0328,-4.5929,-19.7919,0.2558,
银河磁体_1300127.csv,-3.1204,-0.2224,-1.0271,-2.3639,-6.7338,0.9202,
长久物流_0603569.csv,-5.2708,-1.2126,-0.2135,-3.1034,-9.8003,1.2195,
雄帝科技_1300546.csv,-3.2944,-0.7493,-1.4434,-3.561,-9.0481,0.071,
雪浪环境_1300385.csv,-2.2917,-0.2908,-1.0686,-1.9347,-5.5858,2.8998,
顾家家居_0603816.csv,-4.3676,-1.7721,-1.1068,-3.9851,-11.2316,0.278,
高澜股份_1300499.csv,-5.2184,-0.1212,-1.0198,-2.6285,-8.9879,1.6645,
