股票名称,股票跌幅1,总跌幅,股票涨幅,
国瓷材料_1300285.csv,-0.2494,-0.2494,0.375,
国盛金控_1002670.csv,-3.3208,-3.3208,0.0,
国睿科技_0600562.csv,-4.9304,-4.9304,1.0372,
国金证券_0600109.csv,-4.1593,-4.1593,0.0923,
圣达生物_0603079.csv,-8.1857,-8.1857,2.9332,
圣邦股份_1300661.csv,-3.1026,-3.1026,0.7844,
圣阳股份_1002580.csv,-7.5444,-7.5444,0.16,
埃斯顿_1002747.csv,-3.9729,-3.9729,0.9082,
城发环境_1000885.csv,-1.0967,-1.0967,0.7056,
城地股份_0603887.csv,-3.3535,-3.3535,10.0114,
城投控股_0600649.csv,-2.454,-2.454,0.7547,
多伦科技_0603528.csv,-6.0494,-6.0494,0.5256,
大东海B_1200613.csv,-4.6948,-4.6948,1.4778,
大冷B_1200530.csv,-3.4843,-3.4843,1.083,
大华股份_1002236.csv,-3.7915,-3.7915,3.3251,
大富科技_1300134.csv,-7.063,-7.063,0.19,
大港股份_1002077.csv,-5.9677,-5.9677,1.7153,
大连友谊_1000679.csv,-4.3121,-4.3121,1.2876,
大连热电_0600719.csv,-7.7295,-7.7295,1.3962,
大通燃气_1000593.csv,-3.9295,-3.9295,0.141,
天业通联_1002459.csv,-4.9107,-4.9107,1.8779,
天华超净_1300390.csv,-4.1992,-4.1992,1.631,
天奥电子_1002935.csv,-5.2125,-5.2125,0.6899,
天孚通信_1300394.csv,-6.205,-6.205,0.3516,
天成自控_0603085.csv,-8.5868,-8.5868,0.0,
天沃科技_1002564.csv,-7.2443,-7.2443,3.8285,
天源迪科_1300047.csv,-5.1497,-5.1497,2.7146,
天玑科技_1300245.csv,-5.4579,-5.4579,3.0333,
天翔环境_1300362.csv,-3.437,-3.437,4.2373,
天舟文化_1300148.csv,-5.835,-5.835,1.0684,
天虹股份_1002419.csv,-4.507,-4.507,4.4985,
天邑股份_1300504.csv,-6.5078,-6.5078,0.1902,
天银机电_1300342.csv,-6.2106,-6.2106,2.3992,
天际股份_1002759.csv,-5.3704,-5.3704,4.9902,
天顺风能_1002531.csv,-4.6346,-4.6346,0.9346,
太极股份_1002368.csv,-4.0632,-4.0632,0.2941,
太空智造_1300344.csv,-1.2162,-1.2162,9.9863,
太辰光_1300570.csv,-5.7624,-5.7624,1.2063,
太阳电缆_1002300.csv,-6.2937,-6.2937,0.995,
奇精机械_0603677.csv,-4.2218,-4.2218,3.3553,
奥佳华_1002614.csv,-3.3473,-3.3473,0.1082,
奥士康_1002913.csv,-4.0767,-4.0767,0.2917,
奥普光电_1002338.csv,-5.2198,-5.2198,0.2174,
奥维通信_1002231.csv,-4.6429,-4.6429,0.9988,
奥飞数据_1300738.csv,-7.6007,-7.6007,3.0525,
好利来_1002729.csv,-6.6524,-6.6524,3.1609,
好想你_1002582.csv,-5.7226,-5.7226,0.3086,
威唐工业_1300707.csv,-8.9296,-8.9296,1.1688,
孚日股份_1002083.csv,-3.3223,-3.3223,0.0,
宁夏建材_0600449.csv,-4.215,-4.215,0.11,
宁德时代_1300750.csv,-0.8523,-0.8523,0.3161,
宁波建工_0601789.csv,-3.2468,-3.2468,10.0671,
安妮股份_1002235.csv,-9.9497,-9.9497,0.6696,
安居宝_1300155.csv,-5.7725,-5.7725,0.0,
安徽水利_0600502.csv,-4.7337,-4.7337,0.207,
安泰科技_1000969.csv,-9.6263,-9.6263,3.2581,
安洁科技_1002635.csv,-5.3861,-5.3861,0.1372,
安琪酵母_0600298.csv,-1.9956,-1.9956,0.3702,
安硕信息_1300380.csv,-7.771,-7.771,1.9956,
安通控股_0600179.csv,-6.8366,-6.8366,1.99,
安道麦B_1200553.csv,-1.8651,-1.8651,0.5848,
宋都股份_0600077.csv,-5.8824,-5.8824,0.0,
宏大爆破_1002683.csv,-5.4017,-5.4017,0.0,
宏润建设_1002062.csv,-5.1225,-5.1225,0.0,
宏盛股份_0603090.csv,-6.1321,-6.1321,1.696,
宏达股份_0600331.csv,-5.9155,-5.9155,0.2994,
宜华健康_1000150.csv,-4.8321,-4.8321,0.1721,
宜安科技_1300328.csv,-5.317,-5.317,1.1879,
宜昌交运_1002627.csv,-5.5489,-5.5489,1.4049,
宝信B_0900926.csv,-1.3374,-1.3374,0.8745,
宝信软件_0600845.csv,-1.6204,-1.6204,4.0,
宝光股份_0600379.csv,-7.3663,-7.3663,0.7625,
宝通科技_1300031.csv,-4.463,-4.463,1.0219,
宣亚国际_1300612.csv,-7.7679,-7.7679,0.9681,
容大感光_1300576.csv,-5.5961,-5.5961,0.9665,
密尔克卫_0603713.csv,-5.3628,-5.3628,2.1026,
富奥B_1200030.csv,-1.6216,-1.6216,0.8242,
富奥股份_1000030.csv,-6.0491,-6.0491,0.8048,
富春股份_1300299.csv,-6.7416,-6.7416,5.4217,
寿仙谷_0603896.csv,-4.8395,-4.8395,0.6645,
尚纬股份_0603333.csv,-2.0607,-2.0607,0.2215,
尚荣医疗_1002551.csv,-6.0222,-6.0222,0.1686,
山东威达_1002026.csv,-4.9708,-4.9708,0.1538,
山东药玻_0600529.csv,-2.583,-2.583,1.5152,
山东赫达_1002810.csv,-0.3285,-0.3285,3.1856,
山河智能_1002097.csv,-4.0503,-4.0503,0.1456,
山河药辅_1300452.csv,-4.1063,-4.1063,1.7003,
岱勒新材_1300700.csv,-6.2154,-6.2154,0.2111,
岱美股份_0603730.csv,-1.663,-1.663,0.3006,
崇达技术_1002815.csv,-1.5038,-1.5038,4.2866,
川仪股份_0603100.csv,-5.4562,-5.4562,0.2838,
川恒股份_1002895.csv,-6.2162,-6.2162,6.6282,
巨星科技_1002444.csv,-4.1288,-4.1288,0.0,
平高电气_0600312.csv,-3.4982,-3.4982,5.125,
广哈通信_1300711.csv,-6.138,-6.138,0.5251,
广州酒家_0603043.csv,-1.9257,-1.9257,0.8956,
广日股份_0600894.csv,-3.6785,-3.6785,3.6775,
广泽股份_0600882.csv,-1.2153,-1.2153,1.3181,
广电运通_1002152.csv,-3.8737,-3.8737,1.194,
广联达_1002410.csv,-1.3319,-1.3319,1.131,
