股票名称,股票跌幅1,股票跌幅2,总跌幅,股票涨幅,
一致B_1200028.csv,-0.8781,-0.9739,-1.8519999999999999,0.0,
万润科技_1002654.csv,-7.1291,-1.518,-8.6471,0.0,
上海莱士_1002252.csv,-5.5385,-1.5152,-7.0537,2.9316,
上海雅仕_0603329.csv,-2.1194,-3.0201,-5.1395,1.1047,
中交地产_1000736.csv,-3.664,-2.014,-5.678,0.0928,
中再资环_0600217.csv,-5.7263,-1.2414,-6.967700000000001,0.5926,
中南传媒_0601098.csv,-2.3622,-1.5504,-3.9126000000000003,0.0806,
中国人寿_0601628.csv,-0.7071,-1.4271,-2.1342,2.0007,
中国高科_0600730.csv,-5.3846,-1.3657,-6.750299999999999,3.7398,
中石科技_1300684.csv,-8.5982,-4.026,-12.6242,1.6534,
中视传媒_0600088.csv,-7.9556,-3.0841,-11.0397,0.6286,
丹科B股_0900921.csv,-3.9216,-0.5571,-4.4787,0.0,
乐凯新材_1300446.csv,-2.6276,-1.7583,-4.3859,7.2741,
九鼎投资_0600053.csv,-6.8826,-4.0031,-10.8857,1.9565,
五粮液_1000858.csv,-2.8019,-0.7765,-3.5784,1.66,
交运股份_0600676.csv,-4.9743,-0.8503,-5.8246,0.5415,
佳电股份_1000922.csv,-1.9492,-0.5059,-2.4551,1.815,
先进数通_1300541.csv,-5.9685,-1.7156,-7.6841,0.0,
光力科技_1300480.csv,-6.9421,-0.6568,-7.5989,0.444,
光大嘉宝_0600622.csv,-5.467,-2.3359,-7.802899999999999,1.8072,
华媒控股_1000607.csv,-7.4434,-0.3226,-7.766,0.1748,
华联综超_0600361.csv,-6.0166,-1.0267,-7.0433,0.6623,
厦门信达_1000701.csv,-6.8063,-0.7792,-7.585500000000001,0.0,
厦门空港_0600897.csv,-2.579,-1.0292,-3.6082,1.2383,
古井贡酒_1000596.csv,-2.1773,-0.9564,-3.1336999999999997,7.8413,
古鳌科技_1300551.csv,-6.7845,-1.9564,-8.7409,1.5902,
台基股份_1300046.csv,-3.8671,-2.4442,-6.3113,3.0595,
司太立_0603520.csv,-1.5753,-0.0944,-1.6697,1.2804,
四川双马_1000935.csv,-3.8902,-1.2987,-5.1889,0.0595,
回天新材_1300041.csv,-5.4152,-1.4235,-6.838699999999999,1.145,
大名城B_0900940.csv,-2.6585,-3.1683,-5.8268,0.2101,
大立科技_1002214.csv,-5.6354,-1.0929,-6.7283,9.9532,
大连电瓷_1002606.csv,-5.4469,-3.2432,-8.690100000000001,1.6248,
宁波港_0601018.csv,-2.2388,-1.107,-3.3457999999999997,2.6718,
宁波精达_0603088.csv,-6.3595,-2.5917,-8.9512,0.0693,
宇信科技_1300674.csv,-5.3571,-1.0283,-6.3854,2.916,
安井食品_0603345.csv,0.0,-0.1925,-0.1925,5.9788,
宝钛股份_0600456.csv,-1.1013,-0.6999,-1.8012,0.1336,
富临运业_1002357.csv,-5.8156,-0.5642,-6.3797999999999995,1.9578,
富祥股份_1300497.csv,-4.7212,-2.2418,-6.962999999999999,3.2091,
富邦股份_1300387.csv,0.0,-4.0042,-4.0042,1.3172,
川润股份_1002272.csv,-9.6026,-1.3072,-10.9098,0.5495,
平庄能源_1000780.csv,-7.1259,-1.1737,-8.2996,6.9054,
康弘药业_1002773.csv,-1.0743,-1.6898,-2.7641,1.5023,
康芝药业_1300086.csv,-8.1149,-0.6203,-8.7352,0.5435,
建新股份_1300107.csv,-6.1423,-0.5957,-6.7379999999999995,0.8779,
强生控股_0600662.csv,-6.3521,-0.8993,-7.2514,0.3876,
思美传媒_1002712.csv,-4.9367,-1.8634,-6.8001000000000005,0.1332,
扬子新材_1002652.csv,-7.8324,-0.5435,-8.3759,0.3953,
摩恩电气_1002451.csv,-4.267,-3.2623,-7.529300000000001,5.0324,
新宁物流_1300013.csv,-2.2974,-2.9721,-5.269500000000001,0.1306,
晋亿实业_0601002.csv,-7.1782,-0.3699,-7.548100000000001,0.5333,
智飞生物_1300122.csv,-1.178,-0.0222,-1.2002,0.7647,
朗博科技_0603655.csv,-5.2326,-0.2899,-5.5225,0.184,
柳药股份_0603368.csv,-2.5864,-0.1088,-2.6952,0.3913,
正海磁材_1300224.csv,-5.0072,-1.9635,-6.9707,0.4518,
正裕工业_0603089.csv,-5.7118,-1.0435,-6.7553,1.6309,
永艺股份_0603600.csv,-4.0837,-0.0995,-4.1832,2.8037,
永高股份_1002641.csv,-6.3425,-1.6632,-8.005700000000001,0.4515,
法兰泰克_0603966.csv,-8.5512,-2.7491,-11.3003,1.0819,
泰禾集团_1000732.csv,-2.6645,-1.2882,-3.9527,0.6145,
泸州老窖_1000568.csv,-1.7563,-0.98,-2.7363,7.0233,
派思股份_0603318.csv,-3.6145,-4.2308,-7.8453,0.7917,
浔兴股份_1002098.csv,-6.6946,-6.1825,-12.8771,0.7848,
浦东金桥_0600639.csv,-7.6074,-2.512,-10.1194,0.4648,
海欣股份_0600851.csv,-5.4176,-0.2252,-5.6428,0.1193,
深南电B_1200037.csv,-2.4742,-3.5785,-6.0527,0.0,
深康佳B_1200016.csv,-3.125,0.0,-3.125,0.0,
特力B_1200025.csv,-2.7624,-0.44,-3.2024,0.1136,
珀莱雅_0603605.csv,-0.0329,-1.0749,-1.1078,0.9552,
申科股份_1002633.csv,-5.8474,-4.1785,-10.0259,0.1053,
皖江物流_0600575.csv,-6.3333,-1.3158,-7.649100000000001,0.3559,
盛洋科技_0603703.csv,-1.7736,-1.086,-2.8596000000000004,1.4617,
神马股份_0600810.csv,-6.2884,-1.8121,-8.1005,5.6163,
索菲亚_1002572.csv,-1.1765,-1.207,-2.3835,1.1905,
纳川股份_1300198.csv,-2.834,-4.6332,-7.4672,5.625,
罗普斯金_1002333.csv,-6.2155,-1.3624,-7.5779,0.1473,
美好置业_1000667.csv,-2.7682,-2.0339,-4.8021,0.0,
翔港科技_0603499.csv,-4.2415,-3.9604,-8.2019,4.737,
老白干酒_0600559.csv,-3.5771,-1.4515,-5.0286,3.2188,
良信电器_1002706.csv,-4.1096,-0.7553,-4.8649000000000004,0.0,
苏州高新_0600736.csv,-1.1481,-2.4636,-3.6117,2.439,
蓝光发展_0600466.csv,-0.5747,0.0,-0.5747,0.7225,
西藏珠峰_0600338.csv,-3.1636,-1.469,-4.6326,1.9902,
辰欣药业_0603367.csv,-4.2716,-0.8148,-5.0864,0.3432,
远望谷_1002161.csv,-7.3643,-2.2727,-9.637,0.5579,
邦宝益智_0603398.csv,-3.9365,-1.0253,-4.9618,0.647,
酒鬼酒_1000799.csv,-5.2546,-1.1191,-6.3736999999999995,1.4078,
金种子酒_0600199.csv,-7.0385,-2.2078,-9.2463,0.4286,
银江股份_1300020.csv,-4.5549,-3.3033,-7.8582,0.6508,
闽东电力_1000993.csv,-7.4257,-0.1236,-7.5493,0.0,
陕西金叶_1000812.csv,-5.2854,-1.046,-6.3314,6.6964,
鞍重股份_1002667.csv,-4.8387,-5.6795,-10.5182,0.0,
飞力达_1300240.csv,-3.7862,-1.7505,-5.5367,0.1157,
首开股份_0600376.csv,-2.7442,-1.6199,-4.3641000000000005,0.0,
香雪制药_1300147.csv,-5.1534,-2.0433,-7.1967,0.9056,
马应龙_0600993.csv,-4.5181,-1.0137,-5.5318,0.7571,
麦达数字_1002137.csv,-9.5455,-4.2437,-13.789200000000001,0.5025,
