股票名称,A股涨跌幅1,H股涨跌幅1,A股涨跌幅2,H股涨跌幅2,A股总涨跌幅,H股总涨跌幅,A股总滞后幅,
上海电气_0601727.csv,-2.0741,-0.631,-3.0257,-2.857,-5.0998,-3.4880000000000004,1.6118,
中国中车_0601766.csv,-1.4893999999999998,-1.097,-1.9438,-1.664,-3.4332,-2.761,0.6721999999999999,
中国神华_0601088.csv,-2.3426,-1.55,-0.5997,-0.562,-2.9423,-2.112,0.8302999999999999,
中船防务_0600685.csv,-4.0596,4.413,-9.533999999999999,-7.564,-13.593599999999999,-3.151,10.442599999999999,
中远海控_0601919.csv,-2.8286,1.8870000000000002,0.1712,0.529,-2.6574,2.4160000000000004,5.0734,
华能国际_0600011.csv,-1.3413,0,-0.45319999999999994,1.6809999999999998,-1.7944999999999998,1.6809999999999998,3.4755,
南京熊猫_0600775.csv,-2.428,0.522,-10.0116,-5.974,-12.439599999999999,-5.452,6.9876,
国泰君安_0601211.csv,-2.3751,0.244,0.3548,1.582,-2.0203,1.826,3.8463000000000003,
大唐发电_0601991.csv,-1.6901,0,-1.1461000000000001,0,-2.8362,0.0,2.8362,
广深铁路_0601333.csv,-0.831,-0.34099999999999997,-1.6760000000000002,-0.685,-2.507,-1.026,1.481,
拉夏贝尔_0603157.csv,-2.4636,0,-3.4443,0.449,-5.9079,0.449,6.3568999999999996,
新华保险_0601336.csv,-3.7714999999999996,-0.108,-1.5645,-0.758,-5.335999999999999,-0.866,4.47,
长城汽车_0601633.csv,-3.6019,-1.9689999999999999,-1.6716000000000002,-0.28700000000000003,-5.2735,-2.256,3.0175000000000005,
长飞光纤_0601869.csv,-2.6457,0.9299999999999999,-3.4819999999999998,-2.535,-6.1277,-1.6050000000000002,4.5227,
