股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
七彩化学_1300758.csv,-3.898,-1.2799,-4.8535,-3.2106,-3.0841,1.1024,-11.8356,-3.3880999999999997,8.447500000000002,
万华化学_0600309.csv,-3.3824,-1.1981,-2.7552,-2.4296,-2.0502,0.0944,-8.1878,-3.5333,4.6545,
万家乐_1000533.csv,-6.4246,-1.2799,-10.0503,-3.2106,-5.2381,1.1024,-21.712999999999997,-3.3880999999999997,18.3249,
万通地产_0600246.csv,-4.8936,-1.1981,-7.6621,-2.4296,-1.3566,0.0944,-13.9123,-3.5333,10.379000000000001,
上汽集团_0600104.csv,-2.9573,-1.1981,-3.6242,-2.4296,0.0352,0.0944,-6.5463000000000005,-3.5333,3.0130000000000003,
上海临港_0600848.csv,-2.9851,-1.1981,-3.0088,-2.4296,-6.0283,0.0944,-12.0222,-3.5333,8.488900000000001,
上海物贸_0600822.csv,-1.6204,-1.1981,-2.8486,-2.4296,-3.3333,0.0944,-7.802299999999999,-3.5333,4.268999999999999,
上海石化_0600688.csv,-2.9575,-1.1981,-2.6978,-2.4296,-1.2433,0.0944,-6.8986,-3.5333,3.3652999999999995,
上港集团_0600018.csv,-3.5496,-1.1981,-3.7691,-2.4296,-4.9272,0.0944,-12.245899999999999,-3.5333,8.7126,
东山精密_1002384.csv,-3.2787,-1.2799,-4.6875,-3.2106,-4.0,1.1024,-11.9662,-3.3880999999999997,8.578100000000001,
东方嘉盛_1002889.csv,-3.6823,-1.2799,-7.5434,-3.2106,1.0115,1.1024,-10.2142,-3.3880999999999997,6.8261,
东方明珠_0600637.csv,-2.2375,-1.1981,-3.1667,-2.4296,-1.4778,0.0944,-6.882,-3.5333,3.3487,
东旭蓝天_1000040.csv,-2.3041,-1.2799,-6.5662,-3.2106,0.324,1.1024,-8.5463,-3.3880999999999997,5.158200000000001,
中信国安_1000839.csv,-3.1646,-1.2799,-4.2424,-3.2106,1.0204,1.1024,-6.3866,-3.3880999999999997,2.9985,
中信重工_0601608.csv,-1.4315,-1.1981,-4.8638,-2.4296,-1.9084,0.0944,-8.2037,-3.5333,4.670400000000001,
中关村_1000931.csv,-3.4884,-1.2799,-5.2863,-3.2106,-0.765,1.1024,-9.5397,-3.3880999999999997,6.1516,
中原高速_0600020.csv,-2.8517,-1.1981,-6.7376,-2.4296,-2.253,0.0944,-11.8423,-3.5333,8.309,
中天金融_1000540.csv,-3.3473,-1.2799,-6.6406,-3.2106,0.5894,1.1024,-9.3985,-3.3880999999999997,6.010400000000001,
中广天择_0603721.csv,-1.8868,-1.1981,-2.5735,-2.4296,-1.8051,0.0944,-6.2654,-3.5333,2.7321,
中核钛白_1002145.csv,-3.2189,-1.2799,-6.2374,-3.2106,0.8114,1.1024,-8.6449,-3.3880999999999997,5.2568,
中洲控股_1000042.csv,-2.7468,-1.2799,-3.5596,-3.2106,-0.0827,1.1024,-6.3891,-3.3880999999999997,3.0010000000000003,
中粮地产_1000031.csv,-1.3373,-1.2799,-4.1311,-3.2106,-0.1422,1.1024,-5.6106,-3.3880999999999997,2.2225,
中联重科_1000157.csv,-1.6194,-1.2799,-3.8911,-3.2106,0.0,1.1024,-5.5104999999999995,-3.3880999999999997,2.1224,
中钨高新_1000657.csv,-1.7857,-1.2799,-4.8159,-3.2106,0.0,1.1024,-6.6016,-3.3880999999999997,3.2135000000000007,
丹化科技_0600844.csv,-5.1282,-1.1981,-8.7234,-2.4296,-4.277,0.0944,-18.1286,-3.5333,14.595299999999998,
云海金属_1002182.csv,-2.8643,-1.2799,-4.6318,-3.2106,-8.4783,1.1024,-15.974400000000001,-3.3880999999999997,12.586300000000001,
亚振家居_0603389.csv,-5.1973,-1.1981,-6.7325,-2.4296,-1.5901,0.0944,-13.5199,-3.5333,9.9866,
亚玛顿_1002623.csv,-3.2024,-1.2799,-7.0747,-3.2106,-0.28,1.1024,-10.5571,-3.3880999999999997,7.1690000000000005,
京山轻机_1000821.csv,-4.3432,-1.2799,-4.1624,-3.2106,-0.3036,1.1024,-8.8092,-3.3880999999999997,5.421100000000001,
人民网_0603000.csv,-5.72,-1.1981,-2.4961,-2.4296,-0.774,0.0944,-8.990100000000002,-3.5333,5.4568,
今天国际_1300532.csv,-1.9355,-1.2799,-3.2459,-3.2106,0.125,1.1024,-5.0564,-3.3880999999999997,1.6683,
伊力特_0600197.csv,-10.0,-1.1981,-2.8741,-2.4296,0.0,0.0944,-12.8741,-3.5333,9.3408,
伊戈尔_1002922.csv,-1.7979,-1.2799,-4.6127,-3.2106,-0.4709,1.1024,-6.881500000000001,-3.3880999999999997,3.4934000000000003,
会稽山_0601579.csv,-2.1505,-1.1981,-4.0248,-2.4296,-0.5133,0.0944,-6.6886,-3.5333,3.1553,
伯特利_0603596.csv,-3.6804,-1.1981,-7.7301,-2.4296,-0.0893,0.0944,-11.4998,-3.5333,7.9665,
佳云科技_1300242.csv,-1.8367,-1.2799,-3.9216,-3.2106,0.0,1.1024,-5.7583,-3.3880999999999997,2.3702000000000005,
先锋新材_1300163.csv,-2.4752,-1.2799,-5.6075,-3.2106,-0.6961,1.1024,-8.778799999999999,-3.3880999999999997,5.390700000000001,
光华科技_1002741.csv,-3.8802,-1.2799,-5.7125,-3.2106,0.646,1.1024,-8.9467,-3.3880999999999997,5.5586,
兴源环境_1300266.csv,-8.5809,-1.2799,-9.9554,-3.2106,-3.7196,1.1024,-22.255899999999997,-3.3880999999999997,18.8678,
冀凯股份_1002691.csv,-3.9855,-1.2799,-8.71,-3.2106,-4.9266,1.1024,-17.6221,-3.3880999999999997,14.234000000000002,
冰轮环境_1000811.csv,-4.963,-1.2799,-9.981,-3.2106,1.0567,1.1024,-13.8873,-3.3880999999999997,10.4992,
分众传媒_1002027.csv,-5.6575,-1.2799,-6.9701,-3.2106,-1.1252,1.1024,-13.7528,-3.3880999999999997,10.3647,
华控赛格_1000068.csv,-6.9149,-1.2799,-8.7379,-3.2106,-6.3636,1.1024,-22.016399999999997,-3.3880999999999997,18.6283,
华林证券_1002945.csv,-6.3846,-1.2799,-6.5421,-3.2106,-1.2775,1.1024,-14.2042,-3.3880999999999997,10.816099999999999,
华海药业_0600521.csv,-3.7827,-1.1981,-2.8724,-2.4296,-2.4756,0.0944,-9.130700000000001,-3.5333,5.5973999999999995,
华西股份_1000936.csv,-1.8359,-1.2799,-5.7026,-3.2106,-2.0937,1.1024,-9.632200000000001,-3.3880999999999997,6.244100000000001,
华鑫股份_0600621.csv,-1.7655,-1.1981,-3.9349,-2.4296,-1.7333,0.0944,-7.4337,-3.5333,3.9004,
南京化纤_0600889.csv,-2.5597,-1.1981,-4.8701,-2.4296,0.0,0.0944,-7.4298,-3.5333,3.896499999999999,
南京高科_0600064.csv,-1.7195,-1.1981,-4.6592,-2.4296,-2.0287,0.0944,-8.4074,-3.5333,4.8741,
南华生物_1000504.csv,-3.7258,-1.2799,-7.7663,-3.2106,-1.8881,1.1024,-13.3802,-3.3880999999999997,9.9921,
南岭民爆_1002096.csv,-4.2398,-1.2799,-7.0652,-3.2106,-0.5405,1.1024,-11.8455,-3.3880999999999997,8.4574,
南纺股份_0600250.csv,-2.439,-1.1981,-3.4753,-2.4296,-0.7786,0.0944,-6.6929,-3.5333,3.1596,
卧龙地产_0600173.csv,-1.4644,-1.1981,-6.4579,-2.4296,-0.7767,0.0944,-8.699,-3.5333,5.1657,
厦门港务_1000905.csv,-3.8328,-1.2799,-5.9016,-3.2106,-2.139,1.1024,-11.8734,-3.3880999999999997,8.485299999999999,
厦门象屿_0600057.csv,-2.544,-1.1981,-3.0361,-2.4296,-0.1894,0.0944,-5.7695,-3.5333,2.2361999999999997,
吉视传媒_0601929.csv,-1.4134,-1.1981,-3.7415,-2.4296,-3.2895,0.0944,-8.4444,-3.5333,4.911099999999999,
同兴达_1002845.csv,-1.9723,-1.2799,-5.9649,-3.2106,-0.6969,1.1024,-8.6341,-3.3880999999999997,5.246,
四环生物_1000518.csv,-2.3136,-1.2799,-6.0386,-3.2106,-4.1667,1.1024,-12.518899999999999,-3.3880999999999997,9.1308,
国光电器_1002045.csv,-5.2885,-1.2799,-7.8287,-3.2106,-3.2857,1.1024,-16.4029,-3.3880999999999997,13.0148,
国泰集团_0603977.csv,-1.5075,-1.1981,-4.5564,-2.4296,-0.1198,0.0944,-6.1837,-3.5333,2.6504,
国美通讯_0600898.csv,-3.2979,-1.1981,-3.0928,-2.4296,-2.6104,0.0944,-9.0011,-3.5333,5.4677999999999995,
国际医学_1000516.csv,-3.8585,-1.2799,-9.9855,-3.2106,0.1449,1.1024,-13.6991,-3.3880999999999997,10.311,
坚瑞沃能_1300116.csv,-3.4653,-1.2799,-9.8214,-3.2106,-4.2735,1.1024,-17.560200000000002,-3.3880999999999997,14.1721,
复旦复华_0600624.csv,-6.2709,-1.1981,-6.0487,-2.4296,-6.3282,0.0944,-18.6478,-3.5333,15.1145,
外高桥_0600648.csv,-1.4319,-1.1981,-3.8632,-2.4296,-2.553,0.0944,-7.8481,-3.5333,4.3148,
大众交通_0600611.csv,-1.2658,-1.1981,-4.0486,-2.4296,-1.002,0.0944,-6.316400000000001,-3.5333,2.7831,
大众公用_0600635.csv,-3.9941,-1.1981,-4.7887,-2.4296,-3.9242,0.0944,-12.707,-3.5333,9.1737,
