股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票涨跌幅6,指数涨跌幅6,股票涨跌幅7,指数涨跌幅7,股票涨跌幅8,指数涨跌幅8,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
利尔化学_1002258.csv,-1.5222,-1.2799,-3.6966,-3.2106,-5.2536,1.1024,-1.3111,-0.9746,-3.0058,-1.8615,0.9335,1.2692,-1.4376,-0.5487,-0.6853,0.552,-15.9787,-4.951700000000001,11.027,
华谊嘉信_1300071.csv,-1.3089,-1.2799,-6.6015,-3.2106,0.2451,1.1024,-2.8571,-0.9746,-3.8902,-1.8615,0.4598,1.2692,-3.5477,-0.5487,-1.0965,0.552,-18.596999999999998,-4.951700000000001,13.6453,
