股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票涨跌幅6,指数涨跌幅6,股票涨跌幅7,指数涨跌幅7,股票涨跌幅8,指数涨跌幅8,股票涨跌幅9,指数涨跌幅9,股票涨跌幅10,指数涨跌幅10,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
海利得_1002206.csv,-1.7738,-1.2799,-3.838,-3.2106,-0.2128,1.1024,-2.8926,-0.9746,-2.4194,-1.8615,-0.2012,1.2692,-0.7984,-0.5487,0.0,0.552,1.417,2.3263,-0.8032,-0.7755,-11.5224,-3.400900000000001,8.1215,
通达动力_1002576.csv,-1.8745,-1.2799,-6.2643,-3.2106,0.8475,1.1024,-1.1424,-0.9746,-3.0281,-1.8615,-2.3792,1.2692,-1.4215,-0.5487,-0.2128,0.552,1.0753,2.3263,-2.2425,-0.7755,-16.642500000000002,-3.400900000000001,13.2416,
