股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票涨跌幅6,指数涨跌幅6,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
中国电建_0601669.csv,-2.8623,-1.1981,-2.9514,-2.4296,-0.346,0.0944,-2.3649,-0.5116,-2.4712,-1.7046,0.4967,0.6337,-10.499099999999999,-5.1158,5.3833,
中国重工_0601989.csv,-2.0374,-1.1981,-3.7582,-2.4296,-0.8104,0.0944,-5.2227,-0.5116,-2.6906,-1.7046,-0.8889,0.6337,-15.408199999999999,-5.1158,10.2924,
中宠股份_1002891.csv,-1.8731,-1.2799,-4.8304,-3.2106,0.5202,1.1024,-1.0297,-0.9746,-2.3736,-1.8615,-0.3894,1.2692,-9.976,-4.955,5.021000000000001,
中船科技_0600072.csv,-2.6638,-1.1981,-5.5102,-2.4296,-2.9062,0.0944,-8.9597,-0.5116,-4.6991,-1.7046,-2.8396,0.6337,-27.578599999999998,-5.1158,22.4628,
中船防务_0600685.csv,-4.8125,-1.1981,-4.7619,-2.4296,-0.5329,0.0944,-9.534,-0.5116,-4.0596,-1.7046,-1.3685,0.6337,-25.0694,-5.1158,19.9536,
亚星锚链_0601890.csv,-2.7273,-1.1981,-6.7797,-2.4296,-1.6667,0.0944,-7.2165,-0.5116,-3.9604,-1.7046,-2.8846,0.6337,-25.2352,-5.1158,20.1194,
八一钢铁_0600581.csv,-6.8736,-1.1981,-4.8523,-2.4296,0.0,0.0944,-3.2653,-0.5116,-3.3531,-1.7046,0.1976,0.6337,-18.1467,-5.1158,13.030899999999999,
加加食品_1002650.csv,-3.75,-1.2799,-4.3062,-3.2106,0.9662,1.1024,-3.7209,-0.9746,-2.2727,-1.8615,-0.6772,1.2692,-13.7608,-4.955,8.8058,
北新路桥_1002307.csv,-4.3147,-1.2799,-9.9429,-3.2106,0.9227,1.1024,-5.0383,-0.9746,-3.3862,-1.8615,0.0,1.2692,-21.759399999999996,-4.955,16.8044,
华菱钢铁_1000932.csv,-3.0184,-1.2799,-4.2714,-3.2106,0.7595,1.1024,-1.6189,-0.9746,-2.3114,-1.8615,-0.8444,1.2692,-11.305,-4.955,6.35,
博闻科技_0600883.csv,-3.8564,-1.1981,-3.7132,-2.4296,-0.1279,0.0944,-0.6353,-0.5116,-3.198,-1.7046,-0.6112,0.6337,-12.142,-5.1158,7.026199999999999,
厦工股份_0600815.csv,-3.7249,-1.1981,-5.163,-2.4296,-1.3405,0.0944,-2.611,-0.5116,-4.7264,-1.7046,-4.5131,0.6337,-22.078900000000004,-5.1158,16.963099999999997,
合兴包装_1002228.csv,-2.8037,-1.2799,-4.6346,-3.2106,1.0811,1.1024,-4.1451,-0.9746,-3.5,-1.8615,-2.439,1.2692,-16.4413,-4.955,11.4863,
宁波高发_0603788.csv,-1.7305,-1.1981,-3.5182,-2.4296,-1.6999,0.0944,-1.1587,-0.5116,-2.7057,-1.7046,-0.8385,0.6337,-11.6515,-5.1158,6.5357,
文投控股_0600715.csv,-1.4433,-1.1981,-5.0881,-2.4296,-2.4809,0.0944,-4.3796,-0.5116,-4.363,-1.7046,-2.8814,0.6337,-20.6363,-5.1158,15.5205,
文灿股份_0603348.csv,-3.7122,-1.1981,-5.1304,-2.4296,-0.6479,0.0944,-2.5673,-0.5116,-2.7027,-1.7046,-2.2418,0.6337,-17.0023,-5.1158,11.886500000000002,
新华都_1002264.csv,-1.28,-1.2799,-6.7164,-3.2106,1.0558,1.1024,-1.4859,-0.9746,-2.7457,-1.8615,-2.3977,1.2692,-13.5699,-4.955,8.6149,
星星科技_1300256.csv,-3.6649,-1.2799,-6.8293,-3.2106,0.7371,1.1024,-2.864,-0.9746,-5.8427,-1.8615,0.2252,1.2692,-18.238599999999998,-4.955,13.2836,
深圳惠程_1002168.csv,-2.7523,-1.2799,-5.3089,-3.2106,0.7782,1.1024,-2.6515,-0.9746,-2.0408,-1.8615,0.3724,1.2692,-11.6029,-4.955,6.647900000000001,
爱仕达_1002403.csv,-1.4286,-1.2799,-3.2944,-3.2106,0.8574,1.1024,-1.9958,-0.9746,-1.9567,-1.8615,0.1031,1.2692,-7.714999999999999,-4.955,2.7600000000000002,
珠海港_1000507.csv,-2.1592,-1.2799,-4.2636,-3.2106,0.5195,1.1024,-1.6603,-0.9746,-2.3691,-1.8615,0.5013,1.2692,-9.4314,-4.955,4.476400000000001,
贵人鸟_0603555.csv,-2.3121,-1.1981,-4.0222,-2.4296,-0.6887,0.0944,-3.4574,-0.5116,-4.0816,-1.7046,-2.0,0.6337,-16.561999999999998,-5.1158,11.446200000000001,
铁岭新城_1000809.csv,-2.4138,-1.2799,-5.8442,-3.2106,0.3257,1.1024,-2.5397,-0.9746,-2.1739,-1.8615,0.0,1.2692,-12.645899999999997,-4.955,7.690899999999999,
雪莱特_1002076.csv,-2.4523,-1.2799,-6.8528,-3.2106,-0.7557,1.1024,-2.457,-0.9746,-1.9277,-1.8615,0.9732,1.2692,-13.4723,-4.955,8.5173,
