股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
GQY视讯_1300076.csv,-3.4036,-1.2799,-6.9382,-3.2106,-10.3418,-4.4905,5.8513,
TCL集团_1000100.csv,-1.6393,-1.2799,-4.4386,-3.2106,-6.0779,-4.4905,1.5874000000000001,
一心堂_1002727.csv,-2.4045,-1.2799,-3.7113,-3.2106,-6.1158,-4.4905,1.6253000000000002,
一汽富维_0600742.csv,-2.1021,-1.1981,-3.3382,-2.4296,-5.440300000000001,-3.6277,1.8126,
一汽轿车_1000800.csv,-4.2857,-1.2799,-6.1977,-3.2106,-10.4834,-4.4905,5.992900000000001,
万丰奥威_1002085.csv,-2.3284,-1.2799,-4.1128,-3.2106,-6.4412,-4.4905,1.9506999999999999,
万向德农_0600371.csv,-3.6849,-1.1981,-3.672,-2.4296,-7.3568999999999996,-3.6277,3.7291999999999996,
万邦达_1300055.csv,-2.5704,-1.2799,-6.9476,-3.2106,-9.518,-4.4905,5.0275,
万里马_1300591.csv,-2.5298,-1.2799,-7.0539,-3.2106,-9.5837,-4.4905,5.0931999999999995,
万隆光电_1300710.csv,-9.9868,-1.2799,-10.0,-3.2106,-19.986800000000002,-4.4905,15.496300000000002,
万顺股份_1300057.csv,-1.3055,-1.2799,-4.8447,-3.2106,-6.1502,-4.4905,1.6596999999999997,
万马股份_1002276.csv,-1.6272,-1.2799,-5.4545,-3.2106,-7.0817000000000005,-4.4905,2.5912000000000006,
三六零_0601360.csv,-2.2131,-1.1981,-3.3663,-2.4296,-5.5794,-3.6277,1.9516999999999995,
三利谱_1002876.csv,-5.2043,-1.2799,-4.2608,-3.2106,-9.4651,-4.4905,4.9746,
三变科技_1002112.csv,-3.1289,-1.2799,-5.8893,-3.2106,-9.0182,-4.4905,4.5277,
三峡新材_0600293.csv,-1.232,-1.1981,-5.9846,-2.4296,-7.216600000000001,-3.6277,3.5889,
三星医疗_0601567.csv,-1.7544,-1.1981,-2.7027,-2.4296,-4.4571000000000005,-3.6277,0.8293999999999999,
三爱富_0600636.csv,-7.3018,-1.1981,-10.0125,-2.4296,-17.3143,-3.6277,13.686599999999999,
三维工程_1002469.csv,-2.5424,-1.2799,-7.6628,-3.2106,-10.2052,-4.4905,5.7147,
三维股份_0603033.csv,-1.9608,-1.1981,-2.746,-2.4296,-4.7068,-3.6277,1.0791,
三聚环保_1300072.csv,-3.0755,-1.2799,-8.5251,-3.2106,-11.6006,-4.4905,7.110100000000001,
三雄极光_1300625.csv,-1.6351,-1.2799,-6.0811,-3.2106,-7.716200000000001,-4.4905,3.2257000000000002,
上工申贝_0600843.csv,-1.5971,-1.1981,-7.1836,-2.4296,-8.7807,-3.6277,5.153,
上柴股份_0600841.csv,-3.3898,-1.1981,-4.3243,-2.4296,-7.7141,-3.6277,4.086399999999999,
上海亚虹_0603159.csv,-2.9306,-1.1981,-4.0242,-2.4296,-6.9548000000000005,-3.6277,3.3271000000000006,
上海医药_0601607.csv,-3.0793,-1.1981,-2.4618,-2.4296,-5.5411,-3.6277,1.9134,
上海梅林_0600073.csv,-6.5766,-1.1981,-4.475,-2.4296,-11.0516,-3.6277,7.4239,
上海电力_0600021.csv,-2.4283,-1.1981,-2.9979,-2.4296,-5.4262,-3.6277,1.7985,
上海电气_0601727.csv,-1.7742,-1.1981,-6.6265,-2.4296,-8.4007,-3.6277,4.773,
世纪天鸿_1300654.csv,-5.6805,-1.2799,-5.9544,-3.2106,-11.6349,-4.4905,7.144400000000001,
东安动力_0600178.csv,-2.7539,-1.1981,-6.1389,-2.4296,-8.8928,-3.6277,5.2650999999999994,
东宏股份_0603856.csv,-2.2887,-1.1981,-4.2159,-2.4296,-6.5046,-3.6277,2.8769,
东方电子_1000682.csv,-4.2328,-1.2799,-6.281,-3.2106,-10.5138,-4.4905,6.0233,
东方航空_0600115.csv,-2.9412,-1.1981,-3.9548,-2.4296,-6.896,-3.6277,3.2683,
东方通信_0600776.csv,-2.231,-1.1981,-3.7742,-2.4296,-6.0052,-3.6277,2.3774999999999995,
东方金钰_0600086.csv,-2.1978,-1.1981,-5.7971,-2.4296,-7.9949,-3.6277,4.3672,
东方钽业_1000962.csv,-3.7944,-1.2799,-9.9228,-3.2106,-13.7172,-4.4905,9.226700000000001,
东方锆业_1002167.csv,-3.0956,-1.2799,-6.3052,-3.2106,-9.4008,-4.4905,4.9103,
东方集团_0600811.csv,-1.4599,-1.1981,-3.2941,-2.4296,-4.754,-3.6277,1.1262999999999996,
东旭B_1200413.csv,-1.6867,-1.2799,-4.5977,-3.2106,-6.2844,-4.4905,1.7938999999999998,
东旭光电_1000413.csv,-3.3639,-1.2799,-7.1023,-3.2106,-10.4662,-4.4905,5.9757,
东材科技_0601208.csv,-3.8388,-1.1981,-4.5788,-2.4296,-8.4176,-3.6277,4.789899999999999,
东杰智能_1300486.csv,-3.0323,-1.2799,-4.3814,-3.2106,-7.4137,-4.4905,2.9232000000000005,
东湖高新_0600133.csv,-7.2222,-1.1981,-2.439,-2.4296,-9.661200000000001,-3.6277,6.0335,
东风科技_0600081.csv,-2.2531,-1.1981,-5.3918,-2.4296,-7.6449,-3.6277,4.0172,
东风股份_0601515.csv,-4.8611,-1.1981,-5.2632,-2.4296,-10.124300000000002,-3.6277,6.496600000000001,
中亚股份_1300512.csv,-3.4159,-1.2799,-5.5063,-3.2106,-8.9222,-4.4905,4.431700000000001,
中光防雷_1300414.csv,-2.2519,-1.2799,-4.195,-3.2106,-6.4469,-4.4905,1.9564000000000004,
中农立华_0603970.csv,-1.6176,-1.1981,-2.6434,-2.4296,-4.261,-3.6277,0.6333,
中原环保_1000544.csv,-4.5714,-1.2799,-4.1096,-3.2106,-8.681000000000001,-4.4905,4.1905,
中国中冶_0601618.csv,-2.6316,-1.1981,-3.9326,-2.4296,-6.5642,-3.6277,2.9364999999999997,
中国中铁_0601390.csv,-2.2346,-1.1981,-2.585,-2.4296,-4.819599999999999,-3.6277,1.1918999999999997,
中国交建_0601800.csv,-2.2013,-1.1981,-5.1454,-2.4296,-7.3467,-3.6277,3.7190000000000003,
中国动力_0600482.csv,-2.3819,-1.1981,-5.216,-2.4296,-7.5979,-3.6277,3.9702,
中国化学_0601117.csv,-1.2739,-1.1981,-3.3846,-2.4296,-4.6585,-3.6277,1.0307999999999997,
中国医药_0600056.csv,-3.1915,-1.1981,-2.8424,-2.4296,-6.0339,-3.6277,2.4062,
中国南车_0601766.csv,-2.2573,-1.1981,-2.6374,-2.4296,-4.8947,-3.6277,1.2669999999999997,
中国国航_0601111.csv,-1.3039,-1.1981,-3.2039,-2.4296,-4.5078,-3.6277,0.8800999999999999,
中国天楹_1000035.csv,-3.0019,-1.2799,-4.8214,-3.2106,-7.8233,-4.4905,3.3327999999999998,
中国应急_1300527.csv,-1.8447,-1.2799,-5.7929,-3.2106,-7.637600000000001,-4.4905,3.1471000000000005,
中国建筑_0601668.csv,-1.9293,-1.1981,-2.8125,-2.4296,-4.7418,-3.6277,1.1140999999999999,
中国汽研_0601965.csv,-4.1274,-1.1981,-3.7457,-2.4296,-7.873099999999999,-3.6277,4.245399999999999,
中国海诚_1002116.csv,-8.9018,-1.2799,-4.3755,-3.2106,-13.2773,-4.4905,8.7868,
中国联通_0600050.csv,-1.6129,-1.1981,-3.9437,-2.4296,-5.5566,-3.6277,1.9289,
中国软件_0600536.csv,-2.074,-1.1981,-3.3857,-2.4296,-5.4597,-3.6277,1.8319999999999996,
中国铁建_0601186.csv,-2.8777,-1.1981,-3.6395,-2.4296,-6.5172,-3.6277,2.8895,
中坚科技_1002779.csv,-2.8588,-1.2799,-6.39,-3.2106,-9.2488,-4.4905,4.7583,
中天科技_0600522.csv,-1.9102,-1.1981,-4.2962,-2.4296,-6.2063999999999995,-3.6277,2.5786999999999995,
中广核技_1000881.csv,-1.9527,-1.2799,-6.0811,-3.2106,-8.0338,-4.4905,3.5433000000000003,
中新科技_0603996.csv,-3.3797,-1.1981,-4.9149,-2.4296,-8.2946,-3.6277,4.6669,
中曼石油_0603619.csv,-5.6506,-1.1981,-5.7185,-2.4296,-11.3691,-3.6277,7.741399999999999,
中材科技_1002080.csv,-3.1546,-1.2799,-6.6961,-3.2106,-9.8507,-4.4905,5.360200000000001,
中欣氟材_1002915.csv,-4.2672,-1.2799,-5.1125,-3.2106,-9.3797,-4.4905,4.8892,
中泰化学_1002092.csv,-2.0213,-1.2799,-9.0029,-3.2106,-11.0242,-4.4905,6.533700000000001,
中泰股份_1300435.csv,-3.8563,-1.2799,-5.8209,-3.2106,-9.6772,-4.4905,5.1867,
中煤能源_0601898.csv,-2.1154,-1.1981,-2.439,-2.4296,-4.5544,-3.6277,0.9267000000000001,
中环环保_1300692.csv,-3.2436,-1.2799,-5.5411,-3.2106,-8.7847,-4.4905,4.2942,
中珠医疗_0600568.csv,-2.5316,-1.1981,-3.0675,-2.4296,-5.5991,-3.6277,1.9713999999999998,
中航投资_0600705.csv,-1.9934,-1.1981,-5.1969,-2.4296,-7.190300000000001,-3.6277,3.5626,
中航电子_0600372.csv,-1.3622,-1.1981,-3.4668,-2.4296,-4.829000000000001,-3.6277,1.2013,
中装建设_1002822.csv,-1.3378,-1.2799,-4.7771,-3.2106,-6.1149000000000004,-4.4905,1.6244,
中设股份_1002883.csv,-2.2783,-1.2799,-3.7965,-3.2106,-6.0748,-4.4905,1.5843000000000003,
中超控股_1002471.csv,-1.9074,-1.2799,-7.5567,-3.2106,-9.4641,-4.4905,4.973599999999999,
中远海发_0601866.csv,-3.003,-1.1981,-4.0346,-2.4296,-7.0376,-3.6277,3.4099000000000004,
中远海控_0601919.csv,-1.5986,-1.1981,-4.7377,-2.4296,-6.3363000000000005,-3.6277,2.7086,
中通客车_1000957.csv,-5.8704,-1.2799,-6.3507,-3.2106,-12.2211,-4.4905,7.730600000000001,
中铁工业_0600528.csv,-1.657,-1.1981,-5.8502,-2.4296,-7.5072,-3.6277,3.8795,
中铝国际_0601068.csv,-1.2676,-1.1981,-5.9603,-2.4296,-7.2279,-3.6277,3.6002,
中闽能源_0600163.csv,-4.034,-1.1981,-2.8866,-2.4296,-6.9206,-3.6277,3.2928999999999995,
中青旅_0600138.csv,-3.2005,-1.1981,-6.8168,-2.4296,-10.017299999999999,-3.6277,6.3896,
中飞股份_1300489.csv,-4.1505,-1.2799,-4.7945,-3.2106,-8.945,-4.4905,4.4545,
丰原药业_1000153.csv,-3.0928,-1.2799,-4.2313,-3.2106,-7.3241,-4.4905,2.8336,
丹邦科技_1002618.csv,-4.3977,-1.2799,-5.2536,-3.2106,-9.651299999999999,-4.4905,5.1608,
久立特材_1002318.csv,-2.6247,-1.2799,-4.0302,-3.2106,-6.6549,-4.4905,2.1643999999999997,
乐凯胶片_0600135.csv,-1.7606,-1.1981,-8.3871,-2.4296,-10.1477,-3.6277,6.52,
乐心医疗_1300562.csv,-1.664,-1.2799,-6.1012,-3.2106,-7.7652,-4.4905,3.2747,
九典制药_1300705.csv,-2.9347,-1.2799,-5.3472,-3.2106,-8.2819,-4.4905,3.7914,
乾景园林_0603778.csv,-2.0794,-1.1981,-4.8561,-2.4296,-6.935499999999999,-3.6277,3.3077999999999994,
云内动力_1000903.csv,-1.2945,-1.2799,-7.2072,-3.2106,-8.5017,-4.4905,4.0112000000000005,
云意电气_1300304.csv,-1.3245,-1.2799,-6.0166,-3.2106,-7.341100000000001,-4.4905,2.8506000000000005,
亚光科技_1300123.csv,-3.5088,-1.2799,-3.461,-3.2106,-6.969799999999999,-4.4905,2.4793,
亚太药业_1002370.csv,-5.2907,-1.2799,-3.3708,-3.2106,-8.6615,-4.4905,4.170999999999999,
亚宝药业_0600351.csv,-3.944,-1.1981,-4.0293,-2.4296,-7.9733,-3.6277,4.345599999999999,
亚星化学_0600319.csv,-6.1082,-1.1981,-6.3725,-2.4296,-12.480699999999999,-3.6277,8.853,
亚盛集团_0600108.csv,-2.3188,-1.1981,-4.6961,-2.4296,-7.014900000000001,-3.6277,3.3872,
京东方A_1000725.csv,-1.292,-1.2799,-5.1471,-3.2106,-6.4391,-4.4905,1.9486,
京城股份_0600860.csv,-9.9768,-1.1981,-10.0209,-2.4296,-19.997700000000002,-3.6277,16.369999999999997,
京威股份_1002662.csv,-2.214,-1.2799,-9.9668,-3.2106,-12.1808,-4.4905,7.6903,
京泉华_1002885.csv,-2.7341,-1.2799,-4.0159,-3.2106,-6.75,-4.4905,2.2595000000000005,
京运通_0601908.csv,-9.9057,-1.1981,-6.1947,-2.4296,-16.1004,-3.6277,12.4727,
人民同泰_0600829.csv,-4.9279,-1.1981,-6.2007,-2.4296,-11.1286,-3.6277,7.5009,
仁智股份_1002629.csv,-8.0488,-1.2799,-8.2774,-3.2106,-16.3262,-4.4905,11.835700000000001,
仙鹤股份_0603733.csv,-1.2493,-1.1981,-5.7207,-2.4296,-6.97,-3.6277,3.3423,
仟源医药_1300254.csv,-9.6213,-1.2799,-9.9539,-3.2106,-19.575200000000002,-4.4905,15.084700000000002,
众应互联_1002464.csv,-5.1335,-1.2799,-4.5098,-3.2106,-9.6433,-4.4905,5.1528,
众泰汽车_1000980.csv,-3.7866,-1.2799,-5.8347,-3.2106,-9.6213,-4.4905,5.1308,
众源新材_0603527.csv,-5.3746,-1.1981,-5.1005,-2.4296,-10.475100000000001,-3.6277,6.8474,
优德精密_1300549.csv,-1.822,-1.2799,-6.671,-3.2106,-8.493,-4.4905,4.0025,
佛塑科技_1000973.csv,-4.6816,-1.2799,-7.6125,-3.2106,-12.2941,-4.4905,7.803599999999999,
佩蒂股份_1300673.csv,-1.9623,-1.2799,-4.0319,-3.2106,-5.9942,-4.4905,1.5037000000000003,
佳力图_0603912.csv,-1.3572,-1.1981,-6.0834,-2.4296,-7.4406,-3.6277,3.8129,
保变电气_0600550.csv,-3.0635,-1.1981,-4.3933,-2.4296,-7.456799999999999,-3.6277,3.8290999999999995,
信隆健康_1002105.csv,-2.6,-1.2799,-6.7164,-3.2106,-9.3164,-4.4905,4.825900000000001,
信雅达_0600571.csv,-3.9485,-1.1981,-5.9726,-2.4296,-9.9211,-3.6277,6.2934,
健盛集团_0603558.csv,-6.4253,-1.1981,-2.8998,-2.4296,-9.325099999999999,-3.6277,5.6974,
傲农生物_0603363.csv,-7.3105,-1.1981,-2.8411,-2.4296,-10.1516,-3.6277,6.523899999999999,
元成股份_0603388.csv,-4.8686,-1.1981,-5.2015,-2.4296,-10.0701,-3.6277,6.442399999999999,
元隆雅图_1002878.csv,-1.6688,-1.2799,-4.4403,-3.2106,-6.1091,-4.4905,1.6185999999999998,
兆新股份_1002256.csv,-2.1448,-1.2799,-5.5696,-3.2106,-7.7144,-4.4905,3.2239000000000004,
兆易创新_0603986.csv,-2.9798,-1.1981,-5.1033,-2.4296,-8.0831,-3.6277,4.4554,
兆驰股份_1002429.csv,-1.2903,-1.2799,-4.0248,-3.2106,-5.3151,-4.4905,0.8246,
光弘科技_1300735.csv,-2.4961,-1.2799,-9.9719,-3.2106,-12.468,-4.4905,7.977500000000001,
光迅科技_1002281.csv,-1.4647,-1.2799,-5.1169,-3.2106,-6.5816,-4.4905,2.0911,
全柴动力_0600218.csv,-6.1394,-1.1981,-9.9766,-2.4296,-16.116,-3.6277,12.488299999999999,
全通教育_1300359.csv,-1.91,-1.2799,-5.905,-3.2106,-7.815,-4.4905,3.3245000000000005,
兰花科创_0600123.csv,-1.6129,-1.1981,-4.0476,-2.4296,-5.6605,-3.6277,2.0328,
兴业股份_0603928.csv,-1.8417,-1.1981,-4.7433,-2.4296,-6.584999999999999,-3.6277,2.957299999999999,
兴化股份_1002109.csv,-9.3117,-1.2799,-3.7037,-3.2106,-13.0154,-4.4905,8.5249,
再升科技_0603601.csv,-2.2222,-1.1981,-3.9488,-2.4296,-6.170999999999999,-3.6277,2.5432999999999995,
冠农股份_0600251.csv,-3.8143,-1.1981,-4.1335,-2.4296,-7.947799999999999,-3.6277,4.3201,
冠城大通_0600067.csv,-1.9108,-1.1981,-3.681,-2.4296,-5.5918,-3.6277,1.9641,
凌钢股份_0600231.csv,-1.2012,-1.1981,-4.5845,-2.4296,-5.7857,-3.6277,2.1580000000000004,
凤凰股份_0600716.csv,-3.6735,-1.1981,-6.1303,-2.4296,-9.8038,-3.6277,6.1761,
凤竹纺织_0600493.csv,-2.9745,-1.1981,-2.7548,-2.4296,-5.7293,-3.6277,2.1015999999999995,
凯中精密_1002823.csv,-3.894,-1.2799,-4.2823,-3.2106,-8.176300000000001,-4.4905,3.6858000000000004,
凯恩股份_1002012.csv,-3.0,-1.2799,-8.5366,-3.2106,-11.5366,-4.4905,7.046100000000001,
凯撒旅游_1000796.csv,-2.7927,-1.2799,-4.0206,-3.2106,-6.8133,-4.4905,2.3228,
凯盛科技_0600552.csv,-4.0293,-1.1981,-7.4576,-2.4296,-11.4869,-3.6277,7.8592,
凯美特气_1002549.csv,-1.7995,-1.2799,-5.2375,-3.2106,-7.037,-4.4905,2.5465,
