股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票涨跌幅6,指数涨跌幅6,股票涨跌幅7,指数涨跌幅7,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
中国武夷_1000797.csv,-1.3384,-1.2799,-5.7658,-3.2106,0.3617,1.1024,-2.4691,-0.9746,-1.9031,-1.8615,-1.5332,1.2692,-1.3445,-0.5487,-13.9924,-5.5037,8.4887,
亚厦股份_1002375.csv,-1.6077,-1.2799,-3.864,-3.2106,0.936,1.1024,-1.6871,-0.9746,-3.8348,-1.8615,0.4444,1.2692,-1.8895,-0.5487,-11.5027,-5.5037,5.999,
华讯方舟_1000687.csv,-1.4212,-1.2799,-8.076,-3.2106,0.7177,1.1024,-3.0162,-0.9746,-2.4887,-1.8615,0.1133,1.2692,-3.4973,-0.5487,-17.6684,-5.5037,12.164700000000003,
双环传动_1002472.csv,-1.3453,-1.2799,-4.5649,-3.2106,0.2861,1.1024,-1.4104,-0.9746,-2.2069,-1.8615,0.4155,1.2692,-1.2312,-0.5487,-10.057099999999998,-5.5037,4.5534,
多氟多_1002407.csv,-2.9799,-1.2799,-3.992,-3.2106,0.9402,1.1024,-2.0395,-0.9746,-2.3764,-1.8615,-0.1923,1.2692,-3.7037,-0.5487,-14.343599999999999,-5.5037,8.8399,
天保基建_1000965.csv,-1.9002,-1.2799,-4.9661,-3.2106,0.9112,1.1024,-2.4444,-0.9746,-2.3861,-1.8615,0.655,1.2692,-1.0799,-0.5487,-11.2105,-5.5037,5.706799999999999,
威孚高科_1000581.csv,-1.9663,-1.2799,-3.7838,-3.2106,-0.5376,1.1024,-7.8448,-0.9746,-2.3387,-1.8615,1.1832,1.2692,-3.4659,-0.5487,-18.7539,-5.5037,13.2502,
延华智能_1002178.csv,-3.2189,-1.2799,-6.2374,-3.2106,-1.1928,1.1024,-1.5656,-0.9746,-2.4809,-1.8615,0.9634,1.2692,-3.7106,-0.5487,-17.442800000000002,-5.5037,11.9391,
得润电子_1002055.csv,-1.3857,-1.2799,-7.2805,-3.2106,0.6466,1.1024,-2.1097,-0.9746,-2.4691,-1.8615,0.6906,1.2692,-1.3624,-0.5487,-13.270200000000003,-5.5037,7.7665,
恒华科技_1300365.csv,-5.8442,-1.2799,-3.3877,-3.2106,1.0139,1.1024,-2.5851,-0.9746,-2.559,-1.8615,0.5225,1.2692,-2.9263,-0.5487,-15.7659,-5.5037,10.2622,
悦心健康_1002162.csv,-1.737,-1.2799,-6.0606,-3.2106,-0.6944,1.1024,-3.5714,-0.9746,-3.8627,-1.8615,-3.1185,1.2692,-3.6072,-0.5487,-22.6518,-5.5037,17.1481,
旭升股份_0603305.csv,-2.1053,-1.1981,-4.3403,-2.4296,-0.0694,0.0944,-3.2886,-0.5116,-2.9632,-1.7046,-0.9994,0.6337,-1.2102,-0.3958,-14.976400000000002,-5.5116000000000005,9.4648,
晨曦航空_1300581.csv,-2.3288,-1.2799,-6.2901,-3.2106,0.5161,1.1024,-2.5157,-0.9746,-2.2741,-1.8615,0.9932,1.2692,-1.1656,-0.5487,-13.065000000000001,-5.5037,7.5613,
永安林业_1000663.csv,-1.7981,-1.2799,-5.9818,-3.2106,-0.2594,1.1024,-1.027,-0.9746,-2.1357,-1.8615,0.0,1.2692,-0.6242,-0.5487,-11.826199999999998,-5.5037,6.322499999999998,
益民集团_0600824.csv,-1.4815,-1.1981,-4.2553,-2.4296,-0.4706,0.0944,-0.9324,-0.5116,-1.8307,-1.7046,0.2294,0.6337,-0.9091,-0.3958,-9.650200000000002,-5.5116000000000005,4.1386,
赛升药业_1300485.csv,-1.3998,-1.2799,-3.6256,-3.2106,0.0,1.1024,-1.249,-0.9746,-2.0392,-1.8615,1.0717,1.2692,-1.5422,-0.5487,-8.7841,-5.5037,3.2804,
长安汽车_1000625.csv,-1.5837,-1.2799,-4.9462,-3.2106,0.3236,1.1024,-1.278,-0.9746,-4.7667,-1.8615,0.4073,1.2692,-4.845,-0.5487,-16.6887,-5.5037,11.185,
