股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
三力士_1002224.csv,-2.7356,-1.2799,-4.4993,-3.2106,0.5839,1.1024,-2.5605,-0.9746,-2.0891,-1.8615,-11.300600000000001,-6.2242,5.0764,
三峡水利_0600116.csv,-2.5959,-1.1981,-2.6374,-2.4296,-0.655,0.0944,-1.7167,-0.5116,-2.2036,-1.7046,-9.8086,-5.7495,4.059099999999999,
中化国际_0600500.csv,-1.5682,-1.1981,-4.3829,-2.4296,0.0,0.0944,-0.6873,-0.5116,-2.13,-1.7046,-8.7684,-5.7495,3.0189000000000004,
中国铝业_0601600.csv,-1.8868,-1.1981,-2.9748,-2.4296,0.0,0.0944,-1.1312,-0.5116,-2.6432,-1.7046,-8.636,-5.7495,2.8865000000000003,
中天能源_0600856.csv,-4.6296,-1.1981,-8.0851,-2.4296,-0.2123,0.0944,-7.2835,-0.5116,-3.4221,-1.7046,-23.632600000000004,-5.7495,17.8831,
人福医药_0600079.csv,-2.014,-1.1981,-3.2203,-2.4296,-1.7485,0.0944,-1.8791,-0.5116,-3.8492,-1.7046,-12.711099999999998,-5.7495,6.9616,
保隆科技_0603197.csv,-4.4106,-1.1981,-4.0728,-2.4296,-1.2109,0.0944,-2.6616,-0.5116,-1.7924,-1.7046,-14.1483,-5.7495,8.398799999999998,
兔宝宝_1002043.csv,-3.5928,-1.2799,-4.4349,-3.2106,0.5755,1.1024,-1.8362,-0.9746,-2.0747,-1.8615,-11.3631,-6.2242,5.1389,
八菱科技_1002592.csv,-9.6819,-1.2799,-9.9789,-3.2106,-7.6594,1.1024,-10.007,-0.9746,-9.9843,-1.8615,-47.311499999999995,-6.2242,41.0873,
凯发电气_1300407.csv,-1.7836,-1.2799,-5.186,-3.2106,0.3394,1.1024,-4.5356,-0.9746,-2.0106,-1.8615,-13.1764,-6.2242,6.9521999999999995,
利源精制_1002501.csv,-6.25,-1.2799,-7.8788,-3.2106,-0.6024,1.1024,-4.5977,-0.9746,-2.7933,-1.8615,-22.122199999999996,-6.2242,15.898,
北方国际_1000065.csv,-1.3021,-1.2799,-8.6439,-3.2106,0.88,1.1024,-7.4074,-0.9746,-5.1966,-1.8615,-21.669999999999998,-6.2242,15.445800000000002,
华凯创意_1300592.csv,-1.4925,-1.2799,-4.5414,-3.2106,0.7175,1.1024,-2.4497,-0.9746,-2.0566,-1.8615,-9.8227,-6.2242,3.5985000000000005,
华帝股份_1002035.csv,-3.1437,-1.2799,-4.5714,-3.2106,-2.0294,1.1024,-1.1073,-0.9746,-4.7462,-1.8615,-15.597999999999999,-6.2242,9.3738,
南山铝业_0600219.csv,-1.5385,-1.1981,-3.3457,-2.4296,0.0,0.0944,-1.8248,-0.5116,-2.1429,-1.7046,-8.8519,-5.7495,3.1023999999999994,
厦门钨业_0600549.csv,-2.1201,-1.1981,-3.8069,-2.4296,-0.4062,0.0944,-1.0054,-0.5116,-3.1169,-1.7046,-10.455499999999999,-5.7495,4.7059999999999995,
双塔食品_1002481.csv,-7.6404,-1.2799,-4.7109,-3.2106,-0.8493,1.1024,-1.4644,-0.9746,-4.4,-1.8615,-19.064999999999998,-6.2242,12.840800000000002,
基蛋生物_0603387.csv,-3.411,-1.1981,-3.3658,-2.4296,-0.9655,0.0944,-1.1364,-0.5116,-4.1812,-1.7046,-13.059899999999999,-5.7495,7.3104,
天奇股份_1002009.csv,-3.207,-1.2799,-3.8318,-3.2106,-0.0934,1.1024,-3.6871,-0.9746,-3.3043,-1.8615,-14.1236,-6.2242,7.8994,
天津普林_1002134.csv,-3.1332,-1.2799,-6.0123,-3.2106,0.6173,1.1024,-1.4599,-0.9746,-3.2941,-1.8615,-13.2822,-6.2242,7.057999999999999,
安迪苏_0600299.csv,-2.7778,-1.1981,-10.0,-2.4296,-0.8264,0.0944,-2.4194,-0.5116,-1.7822,-1.7046,-17.805799999999998,-5.7495,12.0563,
岭南股份_1002717.csv,-1.8141,-1.2799,-3.5011,-3.2106,-0.2183,1.1024,-1.5054,-0.9746,-2.4134,-1.8615,-9.452300000000001,-6.2242,3.228100000000001,
德豪润达_1002005.csv,-4.4,-1.2799,-7.0632,-3.2106,0.7491,1.1024,-3.2609,-0.9746,-2.8169,-1.8615,-16.7919,-6.2242,10.567700000000002,
捷顺科技_1002609.csv,-3.6697,-1.2799,-4.7441,-3.2106,0.7547,1.1024,-1.9729,-0.9746,-2.2892,-1.8615,-11.921200000000002,-6.2242,5.697000000000001,
新大洲A_1000571.csv,-4.0146,-1.2799,-4.1958,-3.2106,-3.3784,1.1024,-5.1282,-0.9746,-4.878,-1.8615,-21.595,-6.2242,15.370800000000003,
新钢股份_0600782.csv,-3.5948,-1.1981,-4.2254,-2.4296,-0.4673,0.0944,-5.0296,-0.5116,-1.8868,-1.7046,-15.2039,-5.7495,9.4544,
朗姿股份_1002612.csv,-1.4184,-1.2799,-3.9883,-3.2106,1.0816,1.1024,-1.9286,-0.9746,-2.9026,-1.8615,-9.156300000000002,-6.2242,2.9321000000000006,
杉杉股份_0600884.csv,-3.4099,-1.1981,-5.2736,-2.4296,0.066,0.0944,-2.1304,-0.5116,-2.2096,-1.7046,-12.9575,-5.7495,7.207999999999999,
横店影视_0603103.csv,-2.2222,-1.1981,-7.4597,-2.4296,-2.7069,0.0944,-1.1632,-0.5116,-4.658,-1.7046,-18.21,-5.7495,12.4605,
永东股份_1002753.csv,-3.5818,-1.2799,-5.9199,-3.2106,0.9191,1.1024,-2.2462,-0.9746,-2.7948,-1.8615,-13.6236,-6.2242,7.399400000000001,
永兴特钢_1002756.csv,-2.4269,-1.2799,-4.5157,-3.2106,1.0811,1.1024,-1.3041,-0.9746,-3.9294,-1.8615,-11.094999999999999,-6.2242,4.870799999999999,
珈伟新能_1300317.csv,-4.5031,-1.2799,-5.4332,-3.2106,0.4425,1.1024,-9.9602,-0.9746,-2.2078,-1.8615,-21.6618,-6.2242,15.4376,
皖新传媒_0601801.csv,-1.5805,-1.1981,-4.6575,-2.4296,-0.6803,0.0944,-2.1305,-0.5116,-3.5944,-1.7046,-12.6432,-5.7495,6.8937,
盐田港_1000088.csv,-2.1244,-1.2799,-4.4928,-3.2106,-0.5764,1.1024,-3.0726,-0.9746,-3.7634,-1.8615,-14.029599999999999,-6.2242,7.805400000000001,
盛讯达_1300518.csv,-1.6093,-1.2799,-7.1255,-3.2106,0.1741,1.1024,-1.17,-0.9746,-2.9716,-1.8615,-12.702300000000001,-6.2242,6.4781,
粤桂股份_1000833.csv,-3.0844,-1.2799,-7.3684,-3.2106,0.9105,1.1024,-4.631,-0.9746,-2.2631,-1.8615,-16.4364,-6.2242,10.212200000000001,
美凯龙_0601828.csv,-2.1559,-1.1981,-3.2103,-2.4296,-0.32,0.0944,-1.4972,-0.5116,-2.0077,-1.7046,-9.1911,-5.7495,3.4415999999999993,
腾龙股份_0603158.csv,-2.6363,-1.1981,-7.7391,-2.4296,-1.6313,0.0944,-0.6483,-0.5116,-2.5789,-1.7046,-15.233899999999998,-5.7495,9.484399999999999,
西部建设_1002302.csv,-2.3599,-1.2799,-9.9003,-3.2106,0.1331,1.1024,-4.5108,-0.9746,-2.9593,-1.8615,-19.597199999999997,-6.2242,13.373,
远程股份_1002692.csv,-7.0295,-1.2799,-8.5062,-3.2106,-1.2295,1.1024,-9.7967,-0.9746,-2.6978,-1.8615,-29.259700000000002,-6.2242,23.0355,
长城军工_0601606.csv,-4.6875,-1.1981,-7.1903,-2.4296,0.0,0.0944,-3.5548,-0.5116,-3.1056,-1.7046,-18.5382,-5.7495,12.7887,
飞马国际_1002210.csv,-5.1724,-1.2799,-8.3333,-3.2106,0.578,1.1024,-8.5865,-0.9746,-6.1958,-1.8615,-27.71,-6.2242,21.485799999999998,
鸿特科技_1300176.csv,-9.8222,-1.2799,-9.0909,-3.2106,-4.3663,1.1024,-2.9257,-0.9746,-4.1352,-1.8615,-30.3403,-6.2242,24.116100000000003,
