股票名称,股票涨跌幅1,指数涨跌幅1,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
S佳通_0600182.csv,-1.4551,-1.1981,-1.4551,-1.1981,0.2570000000000001,
万年青_1000789.csv,-4.9092,-1.2799,-4.9092,-1.2799,3.6293,
万泽股份_1000534.csv,-3.3898,-1.2799,-3.3898,-1.2799,2.1099,
万达电影_1002739.csv,-7.7453,-1.2799,-7.7453,-1.2799,6.465400000000001,
三七互娱_1002555.csv,-5.4173,-1.2799,-5.4173,-1.2799,4.1373999999999995,
三元股份_0600429.csv,-2.7027,-1.1981,-2.7027,-1.1981,1.5046000000000002,
三全食品_1002216.csv,-1.625,-1.2799,-1.625,-1.2799,0.34509999999999996,
三毛B股_0900922.csv,-1.4161,-1.1981,-1.4161,-1.1981,0.21799999999999997,
三毛派神_1000779.csv,-3.7302,-1.2799,-3.7302,-1.2799,2.4503,
三湘印象_1000863.csv,-1.6985,-1.2799,-1.6985,-1.2799,0.41859999999999986,
三环集团_1300408.csv,-1.9695,-1.2799,-1.9695,-1.2799,0.6896,
三盛教育_1300282.csv,-2.3438,-1.2799,-2.3438,-1.2799,1.0638999999999998,
三钢闽光_1002110.csv,-3.1926,-1.2799,-3.1926,-1.2799,1.9127,
上机数控_0603185.csv,-8.5373,-1.1981,-8.5373,-1.1981,7.3392,
上海三毛_0600689.csv,-4.9674,-1.1981,-4.9674,-1.1981,3.7692999999999994,
上海建工_0600170.csv,-1.6173,-1.1981,-1.6173,-1.1981,0.4192,
上海新阳_1300236.csv,-5.0721,-1.2799,-5.0721,-1.2799,3.7922,
上海机场_0600009.csv,-3.4624,-1.1981,-3.4624,-1.1981,2.2643000000000004,
上海钢联_1300226.csv,-3.9434,-1.2799,-3.9434,-1.2799,2.6635,
上海银行_0601229.csv,-2.08,-1.1981,-2.08,-1.1981,0.8819000000000001,
世嘉科技_1002796.csv,-1.703,-1.2799,-1.703,-1.2799,0.42310000000000003,
东信和平_1002017.csv,-6.4199,-1.2799,-6.4199,-1.2799,5.140000000000001,
东北制药_1000597.csv,-3.0147,-1.2799,-3.0147,-1.2799,1.7348,
东方时尚_0603377.csv,-5.6758,-1.1981,-5.6758,-1.1981,4.4777,
东方精工_1002611.csv,-4.0323,-1.2799,-4.0323,-1.2799,2.7524,
东江环保_1002672.csv,-1.5323,-1.2799,-1.5323,-1.2799,0.25239999999999996,
东莞控股_1000828.csv,-2.4948,-1.2799,-2.4948,-1.2799,1.2149,
东阳光科_0600673.csv,-1.7076,-1.1981,-1.7076,-1.1981,0.5095000000000001,
东阿阿胶_1000423.csv,-3.1375,-1.2799,-3.1375,-1.2799,1.8576000000000001,
中元股份_1300018.csv,-1.5901,-1.2799,-1.5901,-1.2799,0.31020000000000003,
中原传媒_1000719.csv,-1.773,-1.2799,-1.773,-1.2799,0.49309999999999987,
中嘉博创_1000889.csv,-4.465,-1.2799,-4.465,-1.2799,3.1851,
中国人保_0601319.csv,-3.072,-1.1981,-3.072,-1.1981,1.8739000000000001,
中国国旅_0601888.csv,-2.5466,-1.1981,-2.5466,-1.1981,1.3485000000000003,
中国外运_0601598.csv,-2.4561,-1.1981,-2.4561,-1.1981,1.2580000000000002,
中国太保_0601601.csv,-1.6033,-1.1981,-1.6033,-1.1981,0.4052,
