股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票涨跌幅5,指数涨跌幅5,股票涨跌幅6,指数涨跌幅6,股票涨跌幅7,指数涨跌幅7,股票涨跌幅8,指数涨跌幅8,股票涨跌幅9,指数涨跌幅9,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
世联行_1002285.csv,-2.3173,-1.2799,-5.7143,-3.2106,0.5068,1.1024,-1.8242,-0.9746,-2.1104,-1.8615,0.8183,1.2692,-2.3962,-0.5487,-1.7268,0.552,2.0833,2.3263,-12.6808,-2.625400000000001,10.055399999999999,
融捷健康_1300247.csv,-3.5088,-1.2799,-5.6738,-3.2106,0.237,1.1024,-2.3148,-0.9746,-3.5714,-1.8615,0.4484,1.2692,-3.2538,-0.5487,-4.9485,0.552,2.3207,2.3263,-20.265,-2.625400000000001,17.6396,
