股票名称,股票涨跌幅1,指数涨跌幅1,股票涨跌幅2,指数涨跌幅2,股票涨跌幅3,指数涨跌幅3,股票涨跌幅4,指数涨跌幅4,股票总涨跌幅,指数总涨跌幅,股票总滞后幅,
万业企业_0600641.csv,-1.6202,-1.1981,-2.9694,-2.4296,-0.6938,0.0944,-0.8598,-0.5116,-6.1432,-4.0449,2.0982999999999996,
万和电气_1002543.csv,-2.1394,-1.2799,-4.0397,-3.2106,0.5996,1.1024,-1.25,-0.9746,-6.8295,-4.362699999999999,2.4668,
三川智慧_1300066.csv,-2.2472,-1.2799,-4.0948,-3.2106,1.0893,1.1024,-1.2903,-0.9746,-6.543000000000001,-4.362699999999999,2.1803000000000003,
中京电子_1002579.csv,-2.569,-1.2799,-6.9912,-3.2106,-4.6414,1.1024,-1.5781,-0.9746,-15.779699999999998,-4.362699999999999,11.417000000000002,
中利集团_1002309.csv,-1.7503,-1.2799,-6.2363,-3.2106,-1.9313,1.1024,-7.3559,-0.9746,-17.2738,-4.362699999999999,12.911100000000001,
中化岩土_1002542.csv,-1.9646,-1.2799,-4.1431,-3.2106,0.5682,1.1024,-2.403,-0.9746,-7.942499999999999,-4.362699999999999,3.5797999999999996,
中国一重_0601106.csv,-2.4658,-1.1981,-5.4404,-2.4296,-2.0305,0.0944,-1.7456,-0.5116,-11.6823,-4.0449,7.6373999999999995,
中国海防_0600764.csv,-1.5862,-1.1981,-5.2288,-2.4296,0.0,0.0944,-4.8507,-0.5116,-11.6657,-4.0449,7.620799999999999,
中孚实业_0600595.csv,-7.7869,-1.1981,-6.5134,-2.4296,0.0,0.0944,-3.69,-0.5116,-17.9903,-4.0449,13.9454,
中捷资源_1002021.csv,-5.7627,-1.2799,-6.9401,-3.2106,-3.3537,1.1024,-9.8901,-0.9746,-25.9466,-4.362699999999999,21.5839,
中油工程_0600339.csv,-1.9355,-1.1981,-2.5157,-2.4296,-2.0534,0.0944,-0.6122,-0.5116,-7.1168,-4.0449,3.0718999999999994,
中海油服_0601808.csv,-2.2461,-1.1981,-3.5782,-2.4296,-1.7576,0.0944,-0.6434,-0.5116,-8.2253,-4.0449,4.180400000000001,
中航沈飞_0600760.csv,-1.7152,-1.1981,-3.7983,-2.4296,-0.7417,0.0944,-2.9394,-0.5116,-9.1946,-4.0449,5.149699999999999,
中航重机_0600765.csv,-1.3725,-1.1981,-4.3152,-2.4296,0.0939,0.0944,-4.1404,-0.5116,-9.7342,-4.0449,5.689299999999999,
丰林集团_0601996.csv,-1.4245,-1.1981,-4.3597,-2.4296,-1.3441,0.0944,-1.847,-0.5116,-8.9753,-4.0449,4.930400000000001,
丽江旅游_1002033.csv,-1.6517,-1.2799,-4.5845,-3.2106,-0.5698,1.1024,-1.9553,-0.9746,-8.7613,-4.362699999999999,4.3986,
久联发展_1002037.csv,-2.6786,-1.2799,-5.1852,-3.2106,-1.1506,1.1024,-1.6461,-0.9746,-10.6605,-4.362699999999999,6.2978000000000005,
九鼎新材_1002201.csv,-2.5674,-1.2799,-4.6512,-3.2106,0.2454,1.1024,-1.451,-0.9746,-8.4242,-4.362699999999999,4.0615000000000006,
云南旅游_1002059.csv,-4.0,-1.2799,-4.8913,-3.2106,-3.0303,1.1024,-3.0651,-0.9746,-14.986700000000003,-4.362699999999999,10.624,
亚太实业_1000691.csv,-4.251,-1.2799,-4.6332,-3.2106,0.5825,1.1024,-3.1955,-0.9746,-11.4972,-4.362699999999999,7.134500000000001,
亿晶光电_0600537.csv,-2.445,-1.1981,-3.0806,-2.4296,-0.7059,0.0944,-3.4091,-0.5116,-9.6406,-4.0449,5.5957,
以岭药业_1002603.csv,-1.7628,-1.2799,-5.3829,-3.2106,0.841,1.1024,-1.728,-0.9746,-8.0327,-4.362699999999999,3.6700000000000004,
佳隆股份_1002495.csv,-2.1798,-1.2799,-4.6753,-3.2106,0.5222,1.1024,-1.7949,-0.9746,-8.1278,-4.362699999999999,3.7651000000000003,
信捷电气_0603416.csv,-2.1461,-1.1981,-2.5321,-2.4296,-0.5111,0.0944,-0.6889,-0.5116,-5.8782000000000005,-4.0449,1.8332999999999995,
全新好_1000007.csv,-4.1538,-1.2799,-8.4507,-3.2106,0.2825,1.1024,-3.2787,-0.9746,-15.6007,-4.362699999999999,11.238000000000001,
凤凰传媒_0601928.csv,-1.2315,-1.1981,-3.5629,-2.4296,0.0,0.0944,-1.8648,-0.5116,-6.659199999999999,-4.0449,2.6143,
凯众股份_0603037.csv,-2.8251,-1.1981,-3.5698,-2.4296,-0.4675,0.0944,-3.8219,-0.5116,-10.6843,-4.0449,6.6394,
