股票名称, 股票跌幅天数, 股票总涨跌幅,
东方电气_0600875.csv,2,-9.5679,
东方电热_1300217.csv,2,-3.9482999999999997,
东方电缆_0603606.csv,2,-5.8629,
东方盛虹_1000301.csv,2,-2.6142000000000003,
东方航空_0600115.csv,2,-6.896,
东方证券_0600958.csv,2,-3.0457,
东方财富_1300059.csv,2,-4.6309,
东方通信_0600776.csv,2,-6.0052,
东方金钰_0600086.csv,2,-7.9949,
东方钽业_1000962.csv,2,-13.7172,
东方锆业_1002167.csv,2,-9.4008,
东方集团_0600811.csv,2,-4.754,
东旭蓝天_1000040.csv,2,-8.8703,
东易日盛_1002713.csv,2,-4.7214,
东晶电子_1002199.csv,8,-11.3983,
东材科技_0601208.csv,2,-8.4176,
东杰智能_1300486.csv,2,-7.4137,
东江环保_1002672.csv,2,-4.2011,
东沣B_1200160.csv,2,-10.860199999999999,
东湖高新_0600133.csv,2,-9.661200000000001,
东珠生态_0603359.csv,2,-2.6994000000000002,
东百集团_0600693.csv,2,-2.5465,
东莞控股_1000828.csv,5,-7.7047,
东诚药业_1002675.csv,2,-5.1073,
东贝B股_0900956.csv,2,-1.4221,
东阳光科_0600673.csv,2,-3.6950000000000003,
东阿阿胶_1000423.csv,2,-3.9502,
东风汽车_0600006.csv,2,-6.7023,
东风科技_0600081.csv,2,-7.6449,
东风股份_0601515.csv,2,-10.124300000000002,
中亚股份_1300512.csv,2,-8.9222,
中京电子_1002579.csv,6,-18.782999999999998,
中体产业_0600158.csv,2,-4.0343,
中信国安_1000839.csv,2,-7.407,
中信海直_1000099.csv,4,-10.5251,
中信重工_0601608.csv,3,-8.2037,
中元股份_1300018.csv,2,-4.6723,
中光防雷_1300414.csv,2,-6.4469,
中公高科_0603860.csv,4,-8.9526,
中关村_1000931.csv,7,-12.1032,
中兵红箭_1000519.csv,2,-4.6429,
中农立华_0603970.csv,2,-4.261,
中利集团_1002309.csv,4,-17.2738,
中化国际_0600500.csv,5,-8.7684,
中化岩土_1002542.csv,2,-6.1076999999999995,
中南建设_1000961.csv,3,-0.8106,
中原传媒_1000719.csv,2,-4.5316,
中原内配_1002448.csv,2,-5.982,
中原环保_1000544.csv,2,-8.681000000000001,
中原证券_0601375.csv,2,-4.4423,
中原高速_0600020.csv,3,-11.8423,
中嘉博创_1000889.csv,4,-7.5133,
中国一重_0601106.csv,5,-12.4249,
中国中冶_0601618.csv,2,-6.5642,
