股票名称, 股票滞后天数, 股票总滞后幅,
GQY视讯_1300076.csv,2,5.8513,
S佳通_0600182.csv,1,0.2570000000000001,
TCL集团_1000100.csv,2,1.5874000000000001,
一心堂_1002727.csv,2,1.6253000000000002,
一汽富维_0600742.csv,2,1.8126,
一汽轿车_1000800.csv,2,5.992900000000001,
七彩化学_1300758.csv,3,8.447500000000002,
万业企业_0600641.csv,4,2.0982999999999996,
万丰奥威_1002085.csv,2,1.9506999999999999,
万华化学_0600309.csv,3,4.6545,
万向德农_0600371.csv,2,3.7291999999999996,
万和电气_1002543.csv,4,2.4668,
万家乐_1000533.csv,3,18.3249,
万年青_1000789.csv,1,3.6293,
万泽股份_1000534.csv,1,2.1099,
万达电影_1002739.csv,1,6.465400000000001,
万通地产_0600246.csv,3,10.379000000000001,
万邦达_1300055.csv,2,5.0275,
万里马_1300591.csv,2,5.0931999999999995,
万隆光电_1300710.csv,2,15.496300000000002,
万顺股份_1300057.csv,2,1.6596999999999997,
万马股份_1002276.csv,2,2.5912000000000006,
三七互娱_1002555.csv,1,4.1373999999999995,
三元股份_0600429.csv,1,1.5046000000000002,
三全食品_1002216.csv,1,0.34509999999999996,
三六零_0601360.csv,2,1.9516999999999995,
三利谱_1002876.csv,2,4.9746,
三力士_1002224.csv,5,5.0764,
三变科技_1002112.csv,2,4.5277,
三峡新材_0600293.csv,2,3.5889,
三峡水利_0600116.csv,5,4.059099999999999,
三川智慧_1300066.csv,4,2.1803000000000003,
三星医疗_0601567.csv,2,0.8293999999999999,
三毛B股_0900922.csv,1,0.21799999999999997,
三毛派神_1000779.csv,1,2.4503,
三湘印象_1000863.csv,1,0.41859999999999986,
三爱富_0600636.csv,2,13.686599999999999,
三环集团_1300408.csv,1,0.6896,
三盛教育_1300282.csv,1,1.0638999999999998,
三维工程_1002469.csv,2,5.7147,
三维股份_0603033.csv,2,1.0791,
三聚环保_1300072.csv,2,7.110100000000001,
三钢闽光_1002110.csv,1,1.9127,
三雄极光_1300625.csv,2,3.2257000000000002,
上工申贝_0600843.csv,2,5.153,
上机数控_0603185.csv,1,7.3392,
上柴股份_0600841.csv,2,4.086399999999999,
上汽集团_0600104.csv,3,3.0130000000000003,
上海三毛_0600689.csv,1,3.7692999999999994,
上海临港_0600848.csv,3,8.488900000000001,
上海亚虹_0603159.csv,2,3.3271000000000006,
上海医药_0601607.csv,2,1.9134,
上海建工_0600170.csv,1,0.4192,
上海新阳_1300236.csv,1,3.7922,
上海机场_0600009.csv,1,2.2643000000000004,
上海梅林_0600073.csv,2,7.4239,
上海物贸_0600822.csv,3,4.268999999999999,
上海电力_0600021.csv,2,1.7985,
上海电气_0601727.csv,2,4.773,
上海石化_0600688.csv,3,3.3652999999999995,
上海钢联_1300226.csv,1,2.6635,
上海银行_0601229.csv,1,0.8819000000000001,
上港集团_0600018.csv,3,8.7126,
世嘉科技_1002796.csv,1,0.42310000000000003,
世纪天鸿_1300654.csv,2,7.144400000000001,
世联行_1002285.csv,9,10.055399999999999,
东信和平_1002017.csv,1,5.140000000000001,
东北制药_1000597.csv,1,1.7348,
东安动力_0600178.csv,2,5.2650999999999994,
东宏股份_0603856.csv,2,2.8769,
东山精密_1002384.csv,3,8.578100000000001,
东方嘉盛_1002889.csv,3,6.8261,
东方时尚_0603377.csv,1,4.4777,
东方明珠_0600637.csv,3,3.3487,
东方电子_1000682.csv,2,6.0233,
东方精工_1002611.csv,1,2.7524,
东方航空_0600115.csv,2,3.2683,
东方通信_0600776.csv,2,2.3774999999999995,
东方金钰_0600086.csv,2,4.3672,
