股票名称,最低价天数,收盘价天数,
上海环境_0601200.csv,38,33,
上海电力_0600021.csv,19,19,
上海电影_0601595.csv,32,19,
上海电气_0601727.csv,18,18,
上海石化_0600688.csv,44,19,
上海能源_0600508.csv,19,19,
上海莱士_1002252.csv,34,0,
上海贝岭_0600171.csv,29,0,
上海钢联_1300226.csv,33,33,
上海银行_0601229.csv,16,16,
上海雅仕_0603329.csv,11,0,
上港集团_0600018.csv,16,16,
世名科技_1300522.csv,43,43,
世嘉科技_1002796.csv,7,7,
世纪华通_1002602.csv,45,0,
世纪天鸿_1300654.csv,54,54,
世纪星源_1000005.csv,40,0,
世纪瑞尔_1300150.csv,38,37,
世纪鼎利_1300050.csv,8,0,
世联行_1002285.csv,44,44,
世茂股份_0600823.csv,0,0,
世荣兆业_1002016.csv,52,52,
世运电路_0603920.csv,37,19,
世龙实业_1002748.csv,14,0,
东信B股_0900941.csv,8,8,
东信和平_1002017.csv,37,9,
东兴证券_0601198.csv,19,0,
东北制药_1000597.csv,19,18,
东北证券_1000686.csv,19,0,
东华测试_1300354.csv,38,0,
东华科技_1002140.csv,1,0,
东华能源_1002221.csv,17,17,
东华软件_1002065.csv,38,0,
东南网架_1002135.csv,2,0,
东吴证券_0601555.csv,3,0,
东土科技_1300353.csv,37,0,
东安动力_0600178.csv,19,19,
东宏股份_0603856.csv,49,48,
东宝生物_1300239.csv,29,0,
东富龙_1300171.csv,27,0,
东尼电子_0603595.csv,51,0,
东山精密_1002384.csv,20,20,
东方中科_1002819.csv,19,0,
东方创业_0600278.csv,23,23,
东方嘉盛_1002889.csv,18,18,
东方园林_1002310.csv,49,0,
东方国信_1300166.csv,43,0,
东方新星_1002755.csv,23,0,
东方日升_1300118.csv,21,0,
东方时尚_0603377.csv,27,27,
东方明珠_0600637.csv,43,43,
东方材料_0603110.csv,20,20,
东方海洋_1002086.csv,24,24,
东方环宇_0603706.csv,48,44,
东方电子_1000682.csv,32,32,
东方电气_0600875.csv,11,11,
东方电热_1300217.csv,6,6,
东方电缆_0603606.csv,9,9,
东方盛虹_1000301.csv,19,18,
东方精工_1002611.csv,2,1,
东方网力_1300367.csv,0,0,
东方能源_1000958.csv,10,10,
东方航空_0600115.csv,19,19,
东方证券_0600958.csv,19,0,
东方财富_1300059.csv,19,19,
东方通_1300379.csv,37,0,
东方通信_0600776.csv,45,45,
东方金钰_0600086.csv,45,45,
东方钽业_1000962.csv,29,29,
东方铁塔_1002545.csv,2,0,
东方银星_0600753.csv,5,0,
东方锆业_1002167.csv,19,19,
东方集团_0600811.csv,29,29,
东方雨虹_1002271.csv,0,0,
东旭B_1200413.csv,5,5,
东旭光电_1000413.csv,7,7,
东旭蓝天_1000040.csv,35,35,
东易日盛_1002713.csv,30,30,
东晶电子_1002199.csv,31,30,
东材科技_0601208.csv,20,20,
东杰智能_1300486.csv,43,43,
东江环保_1002672.csv,19,19,
东沣B_1200160.csv,19,19,
东港股份_1002117.csv,20,0,
东湖高新_0600133.csv,1,1,
