ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-04-26,'002884,ม่ฯ๖ฑราต,27.2,28.4,26.94,28.4,28.24,-1.04,-3.6827,2.5375,1713940,47081134.57,3275675545.6,1837216520.0
2019-04-25,'002884,ม่ฯ๖ฑราต,28.24,29.16,28.22,28.72,28.73,-0.49,-1.7055,2.0112,1358436,39107676.66,3400921963.52,1907463034.0
2019-04-24,'002884,ม่ฯ๖ฑราต,28.73,28.79,28.2,28.59,28.59,0.14,0.4897,1.3609,919215,26212759.16,3459932295.04,1940559949.25
2019-04-23,'002884,ม่ฯ๖ฑราต,28.59,28.84,28.38,28.63,28.6,-0.01,-0.035,1.5,1013144,29020378.08,3443072200.32,1931103687.75
2019-04-22,'002884,ม่ฯ๖ฑราต,28.6,28.94,28.32,28.94,28.84,-0.24,-0.8322,2.0956,1415448,40410569.68,3444276492.8,1931779135.0
2019-04-19,'002884,ม่ฯ๖ฑราต,28.84,29.28,28.45,29.18,29.09,-0.25,-0.8594,2.0355,1374858,39545435.16,3473179512.32,1947989869.0
2019-04-18,'002884,ม่ฯ๖ฑราต,29.09,29.36,29.0,29.25,29.27,-0.18,-0.615,1.1038,745570,21747682.1,3503286824.32,1964876050.25
2019-04-17,'002884,ม่ฯ๖ฑราต,29.27,29.42,29.06,29.2,29.28,-0.01,-0.0342,1.6265,1098631,32115004.9,3524964088.96,1977034100.75
2019-04-16,'002884,ม่ฯ๖ฑราต,29.28,29.28,28.41,28.64,28.7,0.58,2.0209,2.1004,1418691,40885165.76,3526168381.44,1977709548.0
2019-04-15,'002884,ม่ฯ๖ฑราต,28.7,29.65,28.7,29.5,29.26,-0.56,-1.9139,1.9386,1309400,38325834.75,3456319417.6,1938533607.5
2019-04-12,'002884,ม่ฯ๖ฑราต,29.26,29.96,28.98,29.85,29.98,-0.72,-2.4016,3.1225,2109093,61763171.71,3523759796.48,1976358653.5
2019-04-11,'002884,ม่ฯ๖ฑราต,29.98,30.74,29.63,30.6,30.5,-0.52,-1.7049,2.9443,1988735,59674718.27,3610468855.04,2024990855.5
2019-04-10,'002884,ม่ฯ๖ฑราต,30.5,30.76,30.21,30.4,30.48,0.02,0.0656,3.9642,2677589,81788827.7,3673092064.0,2060114112.5
2019-04-09,'002884,ม่ฯ๖ฑราต,30.48,30.5,29.61,29.98,29.87,0.61,2.0422,3.5066,2368505,71251113.5,3670683479.04,2058763218.0
2019-04-08,'002884,ม่ฯ๖ฑราต,29.87,30.17,29.48,29.99,29.68,0.19,0.6402,4.1303,2789820,83155513.14,3597221637.76,2017560935.75
2019-04-04,'002884,ม่ฯ๖ฑราต,29.68,29.72,29.15,29.41,29.3,0.38,1.2969,5.8202,3931240,115593066.46,3574340080.64,2004727438.0
2019-04-03,'002884,ม่ฯ๖ฑราต,29.3,31.09,28.7,31.0,30.93,-1.63,-5.27,9.4092,6355440,189647816.0,3528576966.4,1979060442.5
2019-04-02,'002884,ม่ฯ๖ฑราต,30.93,31.57,30.81,31.49,30.96,-0.03,-0.0969,3.1712,2141980,66665145.0,3724876640.64,2089158344.25
