�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'300093,踢試產薛,7.38,7.6,7.2,7.59,7.6,-0.22,-2.8947,5.4049,11674658,86555806.02,1594080000.0,1594080000.0
2019-04-25,'300093,踢試產薛,7.6,8.13,7.6,8.04,8.05,-0.45,-5.5901,2.9627,6399383,50422114.08,1641600000.0,1641600000.0
2019-04-24,'300093,踢試產薛,8.05,8.09,7.88,7.95,7.92,0.13,1.6414,2.5766,5565530,44606513.5,1738800000.0,1738800000.0
2019-04-23,'300093,踢試產薛,7.92,8.05,7.73,7.8,7.92,0.0,0.0,3.6484,7880488,62331436.17,1710720000.0,1710720000.0
2019-04-22,'300093,踢試產薛,7.92,8.21,7.89,8.18,8.19,-0.27,-3.2967,3.7845,8174494,65768855.06,1710720000.0,1710720000.0
2019-04-19,'300093,踢試產薛,8.19,8.22,7.93,8.01,8.31,-0.12,-1.444,4.8058,10380441,83743572.55,1769040000.0,1769040000.0
2019-04-18,'300093,踢試產薛,8.31,8.95,8.04,8.82,8.9,-0.59,-6.6292,9.6521,20848618,176100677.26,1794960000.0,1794960000.0
2019-04-17,'300093,踢試產薛,8.9,8.98,8.28,8.28,8.33,0.57,6.8427,7.7128,16659579,144543009.93,1922400000.0,1922400000.0
2019-04-16,'300093,踢試產薛,8.33,8.44,8.05,8.41,8.07,0.26,3.2218,6.0827,13138698,108205503.11,1799280000.0,1799280000.0
2019-04-15,'300093,踢試產薛,8.07,8.46,8.05,8.16,7.93,0.14,1.7654,7.4785,16153581,133572374.07,1743120000.0,1743120000.0
2019-04-12,'300093,踢試產薛,7.93,8.19,7.8,7.99,8.03,-0.1,-1.2453,4.3384,9371049,74951321.17,1712880000.0,1712880000.0
2019-04-11,'300093,踢試產薛,8.03,8.52,8.03,8.38,8.36,-0.33,-3.9474,3.7334,8064042,66494766.88,1734480000.0,1734480000.0
2019-04-10,'300093,踢試產薛,8.36,8.37,7.97,8.1,8.2,0.16,1.9512,3.8889,8399920,69092577.31,1805760000.0,1805760000.0
2019-04-09,'300093,踢試產薛,8.2,8.33,7.92,8.01,8.09,0.11,1.3597,4.0655,8781587,71497962.82,1771200000.0,1771200000.0
2019-04-08,'300093,踢試產薛,8.09,8.35,7.86,7.93,7.88,0.21,2.665,5.3986,11660943,94494342.58,1747440000.0,1747440000.0
2019-04-04,'300093,踢試產薛,7.88,7.88,7.73,7.78,7.76,0.12,1.5464,4.1436,8950167,69963789.84,1702080000.0,1702080000.0
2019-04-03,'300093,踢試產薛,7.76,7.85,7.59,7.6,7.68,0.08,1.0417,3.974,8583815,66237183.5,1676160000.0,1676160000.0
2019-04-02,'300093,踢試產薛,7.68,7.94,7.65,7.78,7.8,-0.12,-1.5385,4.1562,8977400,69633292.0,1658880000.0,1658880000.0
2019-04-01,'300093,踢試產薛,7.8,7.86,7.51,7.58,7.5,0.3,4.0,5.6142,12126770,93520444.38,1684800000.0,1684800000.0
2019-03-29,'300093,踢試產薛,7.5,7.57,7.15,7.39,7.41,0.09,1.2146,5.4994,11878598,88171415.01,1620000000.0,1620000000.0
2019-03-28,'300093,踢試產薛,7.41,7.75,7.24,7.4,7.35,0.06,0.8163,6.3699,13758956,102071580.74,1600560000.0,1600560000.0
2019-03-27,'300093,踢試產薛,7.35,7.49,6.99,7.0,6.96,0.39,5.6034,5.8485,12632779,91644931.61,1587600000.0,1587600000.0
2019-03-26,'300093,踢試產薛,6.96,7.59,6.93,7.46,7.22,-0.26,-3.6011,4.4362,9582279,69276382.05,1503360000.0,1503360000.0
2019-03-25,'300093,踢試產薛,7.22,7.42,7.13,7.18,7.31,-0.09,-1.2312,3.2668,7056348,51380801.87,1559520000.0,1559520000.0
2019-03-22,'300093,踢試產薛,7.31,7.34,7.09,7.25,7.29,0.02,0.2743,3.5076,7576511,54648680.23,1578960000.0,1578960000.0
2019-03-21,'300093,踢試產薛,7.29,7.34,7.18,7.18,7.18,0.11,1.532,3.608,7793185,56666823.28,1574640000.0,1574640000.0
2019-03-20,'300093,踢試產薛,7.18,7.23,6.96,7.23,7.16,0.02,0.2793,3.6974,7986426,56766316.35,1550880000.0,1550880000.0
2019-03-19,'300093,踢試產薛,7.16,7.3,7.13,7.19,7.18,-0.02,-0.2786,3.961,8555851,61635825.51,1546560000.0,1546560000.0
2019-03-18,'300093,踢試產薛,7.18,7.2,6.97,7.03,6.97,0.21,3.0129,4.0826,8818363,62425302.11,1550880000.0,1550880000.0
2019-03-15,'300093,踢試產薛,6.97,7.08,6.84,6.88,6.86,0.11,1.6035,6.1758,13339703,92548688.66,1505520000.0,1505520000.0
2019-03-14,'300093,踢試產薛,6.86,7.6,6.82,7.5,7.58,-0.72,-9.4987,10.0462,21699786,152266525.47,1481760000.0,1481760000.0
2019-03-13,'300093,踢試產薛,7.58,7.95,7.55,7.8,7.79,-0.21,-2.6958,5.7908,12508152,96840835.35,1637280000.0,1637280000.0
2019-03-12,'300093,踢試產薛,7.79,7.94,7.61,7.82,7.89,-0.1,-1.2674,7.2905,15747483,122960294.39,1682640000.0,1682640000.0
2019-03-11,'300093,踢試產薛,7.89,7.97,7.22,7.33,7.36,0.53,7.2011,9.0977,19651021,148953093.15,1704240000.0,1704240000.0
2019-03-08,'300093,踢試產薛,7.36,7.71,6.95,7.0,7.33,0.03,0.4093,8.455,18262772,132443960.06,1589760000.0,1589760000.0
2019-03-07,'300093,踢試產薛,7.33,7.73,7.02,7.07,7.04,0.29,4.1193,7.7407,16720006,123537492.83,1583280000.0,1583280000.0
2019-03-06,'300093,踢試產薛,7.04,7.13,6.86,6.93,6.9,0.14,2.029,4.8656,10509759,73923878.57,1520640000.0,1520640000.0
2019-03-05,'300093,踢試產薛,6.9,6.93,6.73,6.77,6.84,0.06,0.8772,4.0421,8730933,59512446.78,1490400000.0,1490400000.0
2019-03-04,'300093,踢試產薛,6.84,6.94,6.69,6.7,6.68,0.16,2.3952,4.1046,8865867,60342352.13,1477440000.0,1477440000.0
2019-03-01,'300093,踢試產薛,6.68,6.75,6.58,6.7,6.67,0.01,0.1499,3.2533,7027110,46919675.72,1442880000.0,1442880000.0
2019-02-28,'300093,踢試產薛,6.67,6.74,6.54,6.56,6.61,0.06,0.9077,3.2239,6963700,46173480.39,1440720000.0,1440720000.0
2019-02-27,'300093,踢試產薛,6.61,6.75,6.43,6.5,6.5,0.11,1.6923,4.2414,9161476,60468397.58,1427760000.0,1427760000.0
2019-02-26,'300093,踢試產薛,6.5,6.63,6.39,6.47,6.51,-0.01,-0.1536,3.7958,8198984,53473928.12,1404000000.0,1404000000.0
2019-02-25,'300093,踢試產薛,6.51,6.56,6.21,6.27,6.23,0.28,4.4944,4.0206,8684421,55555851.79,1406160000.0,1406160000.0
2019-02-22,'300093,踢試產薛,6.23,6.25,6.01,6.04,6.02,0.21,3.4884,2.7089,5851263,35929859.0,1345680000.0,1345680000.0
2019-02-21,'300093,踢試產薛,6.02,6.2,5.96,6.12,6.1,-0.08,-1.3115,2.6345,5690577,34722980.05,1300320000.0,1300320000.0
2019-02-20,'300093,踢試產薛,6.1,6.15,5.98,6.02,6.01,0.09,1.4975,2.325,5021928,30448392.82,1317600000.0,1317600000.0
2019-02-19,'300093,踢試產薛,6.01,6.1,5.86,6.0,5.97,0.04,0.67,2.684,5797432,34743068.25,1298160000.0,1298160000.0
2019-02-18,'300093,踢試產薛,5.97,6.0,5.72,5.75,5.73,0.24,4.1885,2.6227,5664995,33281751.76,1289520000.0,1289520000.0
2019-02-15,'300093,踢試產薛,5.73,5.84,5.68,5.71,5.71,0.02,0.3503,2.0091,4339649,24929457.78,1237680000.0,1237680000.0
2019-02-14,'300093,踢試產薛,5.71,5.77,5.66,5.68,5.7,0.01,0.1754,1.915,4136401,23618681.72,1233360000.0,1233360000.0
2019-02-13,'300093,踢試產薛,5.7,5.77,5.59,5.64,5.6,0.1,1.7857,2.6634,5752914,32532807.03,1231200000.0,1231200000.0
2019-02-12,'300093,踢試產薛,5.6,5.62,5.47,5.54,5.52,0.08,1.4493,2.8488,6153374,34246355.83,1209600000.0,1209600000.0
2019-02-11,'300093,踢試產薛,5.52,5.54,5.36,5.41,5.39,0.13,2.4119,2.7181,5871004,32035089.08,1192320000.0,1192320000.0
2019-02-01,'300093,踢試產薛,5.39,5.44,5.21,5.23,5.19,0.2,3.8536,2.2079,4769043,25373333.73,1164240000.0,1164240000.0
2019-01-31,'300093,踢試產薛,5.19,5.34,5.13,5.25,5.23,-0.04,-0.7648,2.4384,5267029,27546823.52,1121040000.0,1121040000.0
2019-01-30,'300093,踢試產薛,5.23,5.38,5.23,5.38,5.36,-0.13,-2.4254,2.3069,4982863,26403798.65,1129680000.0,1129680000.0
2019-01-29,'300093,踢試產薛,5.36,5.63,5.28,5.63,5.67,-0.31,-5.4674,3.9542,8540981,46211046.48,1157760000.0,1157760000.0
2019-01-28,'300093,踢試產薛,5.67,5.9,5.49,5.66,6.04,-0.37,-6.1258,4.7609,10283595,57817568.42,1224720000.0,1224720000.0
2019-01-25,'300093,踢試產薛,6.04,6.34,6.04,6.34,6.71,-0.67,-9.9851,2.849,6153900,37230337.0,1304640000.0,1304640000.0
2019-01-24,'300093,踢試產薛,6.71,6.75,6.64,6.74,6.7,0.01,0.1493,0.5658,1222213,8191620.84,1449360000.0,1449360000.0
2019-01-23,'300093,踢試產薛,6.7,6.73,6.62,6.62,6.72,-0.02,-0.2976,0.7668,1656293,11051331.38,1447200000.0,1447200000.0
2019-01-22,'300093,踢試產薛,6.72,6.75,6.65,6.69,6.75,-0.03,-0.4444,0.683,1475191,9874154.88,1451520000.0,1451520000.0
2019-01-21,'300093,踢試產薛,6.75,6.8,6.64,6.74,6.76,-0.01,-0.1479,1.1637,2513582,16854039.88,1458000000.0,1458000000.0
2019-01-18,'300093,踢試產薛,6.76,6.8,6.57,6.63,6.69,0.07,1.0463,1.406,3036900,20268805.0,1460160000.0,1460160000.0
2019-01-17,'300093,踢試產薛,6.69,6.75,6.61,6.68,6.72,-0.03,-0.4464,0.9146,1975500,13205952.0,1445040000.0,1445040000.0
2019-01-16,'300093,踢試產薛,6.72,6.84,6.66,6.72,6.72,0.0,0.0,1.2356,2668799,18012346.36,1451520000.0,1451520000.0
2019-01-15,'300093,踢試產薛,6.72,6.75,6.53,6.61,6.61,0.11,1.6641,1.4226,3072871,20532164.18,1451520000.0,1451520000.0
2019-01-14,'300093,踢試產薛,6.61,6.75,6.54,6.63,6.64,-0.03,-0.4518,1.1561,2497181,16561017.36,1427760000.0,1427760000.0
2019-01-11,'300093,踢試產薛,6.64,6.7,6.55,6.67,6.63,0.01,0.1508,0.8746,1889200,12494779.03,1434240000.0,1434240000.0
2019-01-10,'300093,踢試產薛,6.63,6.68,6.56,6.63,6.62,0.01,0.1511,0.9568,2066600,13648085.0,1432080000.0,1432080000.0
2019-01-09,'300093,踢試產薛,6.62,6.7,6.51,6.54,6.55,0.07,1.0687,1.3077,2824665,18737959.4,1429920000.0,1429920000.0
