хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-26,'300173,жг╩шки╣б,5.63,5.85,5.56,5.63,5.73,-0.1,-1.7452,2.1547,12630300,72259315.0,3300196231.89,3300196231.89
2019-04-25,'300173,жг╩шки╣б,5.73,6.3,5.71,6.29,6.34,-0.61,-9.6215,4.3391,25434713,151988758.63,3358814282.19,3358814282.19
2019-04-24,'300173,жг╩шки╣б,6.34,6.38,6.08,6.32,6.34,0.0,0.0,2.9436,17254554,107790803.11,3716384389.02,3716384389.02
2019-04-23,'300173,жг╩шки╣б,6.34,6.49,6.25,6.34,6.34,0.0,0.0,2.6262,15394361,98093216.74,3716384389.02,3716384389.02
2019-04-22,'300173,жг╩шки╣б,6.34,6.71,6.31,6.65,6.71,-0.37,-5.5142,4.2571,24954529,162151935.17,3716384389.02,3716384389.02
2019-04-19,'300173,жг╩шки╣б,6.71,6.75,6.44,6.63,6.61,0.1,1.5129,4.1762,24479893,161388313.38,3933271175.13,3933271175.13
2019-04-18,'300173,жг╩шки╣б,6.61,7.01,6.53,6.87,6.87,-0.26,-3.7846,6.288,36859104,249595977.93,3874653124.83,3874653124.83
2019-04-17,'300173,жг╩шки╣б,6.87,7.32,6.7,6.7,7.01,-0.14,-1.9971,10.2024,59804543,417886830.34,4027060055.61,4027060055.61
2019-04-16,'300173,жг╩шки╣б,7.01,7.4,6.45,6.5,6.77,0.24,3.5451,14.9636,87713980,609352556.61,4109125326.03,4109125326.03
2019-04-15,'300173,жг╩шки╣б,6.77,6.77,6.13,6.18,6.15,0.62,10.0813,11.2901,66180181,428610285.74,3968442005.31,3968442005.31
2019-04-12,'300173,жг╩шки╣б,6.15,6.39,6.08,6.33,6.59,-0.44,-6.6768,8.633,50605089,316560782.95,3605010093.45,3605010093.45
2019-04-11,'300173,жг╩шки╣б,6.59,6.59,5.96,5.98,5.99,0.6,10.0167,5.7991,33993249,220492769.53,3862929514.77,3862929514.77
2019-04-10,'300173,жг╩шки╣б,5.99,6.1,5.77,5.88,5.95,0.04,0.6723,2.8557,16739749,98949096.64,3511221212.97,3511221212.97
2019-04-09,'300173,жг╩шки╣б,5.95,6.01,5.83,5.89,5.9,0.05,0.8475,2.0591,12070200,71696098.0,3487773992.85,3487773992.85
2019-04-08,'300173,жг╩шки╣б,5.9,6.22,5.75,6.18,6.18,-0.28,-4.5307,4.097,24015648,143543705.9,3458464967.7,3458464967.7
2019-04-04,'300173,жг╩шки╣б,6.18,6.25,6.0,6.05,6.06,0.12,1.9802,3.8228,22408442,137151569.76,3622595508.54,3622595508.54
2019-04-03,'300173,жг╩шки╣б,6.06,6.13,5.96,6.0,6.05,0.01,0.1653,2.8183,16520470,100008363.38,3552253848.18,3552253848.18
2019-04-02,'300173,жг╩шки╣б,6.05,6.15,5.83,5.9,5.88,0.17,2.8912,3.6141,21185123,127413955.94,3546392043.15,3546392043.15
2019-04-01,'300173,жг╩шки╣б,5.88,5.89,5.72,5.74,5.7,0.18,3.1579,2.2776,13350888,77839797.51,3446741357.64,3446741357.64
2019-03-29,'300173,жг╩шки╣б,5.7,5.73,5.4,5.56,5.52,0.18,3.2609,2.6032,15259501,85286312.56,3341228867.1,3341228867.1
2019-03-28,'300173,жг╩шки╣б,5.52,5.82,5.51,5.74,5.76,-0.24,-4.1667,2.3753,13923296,78857769.16,3235716376.56,3235716376.56
2019-03-27,'300173,жг╩шки╣б,5.76,5.85,5.63,5.79,5.71,0.05,0.8757,1.9035,11157978,63986371.36,3376399697.28,3376399697.28
2019-03-26,'300173,жг╩шки╣б,5.71,5.99,5.58,5.94,5.92,-0.21,-3.5473,3.0117,17653896,101751535.26,3347090672.13,3347090672.13
2019-03-25,'300173,жг╩шки╣б,5.92,6.08,5.9,5.98,6.12,-0.2,-3.268,2.8144,16497296,98747399.4,3470188577.76,3470188577.76
2019-03-22,'300173,жг╩шки╣б,6.12,6.17,5.94,6.12,6.15,-0.03,-0.4878,3.1364,18384684,111143791.16,3587424678.36,3587424678.36
2019-03-21,'300173,жг╩шки╣б,6.15,6.35,5.98,6.06,6.11,0.04,0.6547,4.7902,28078942,172716069.42,3605010093.45,3605010093.45
2019-03-20,'300173,жг╩шки╣б,6.11,6.34,5.91,6.28,6.24,-0.13,-2.0833,4.2718,25040271,151959617.85,3581562873.33,3581562873.33
2019-03-19,'300173,жг╩шки╣б,6.24,6.41,6.15,6.35,6.37,-0.13,-2.0408,3.699,21682899,135863457.62,3657766338.72,3657766338.72
2019-03-18,'300173,жг╩шки╣б,6.37,6.5,6.1,6.41,6.39,-0.02,-0.313,5.2712,30898652,194364992.12,3733969804.11,3733969804.11
2019-03-15,'300173,жг╩шки╣б,6.39,6.55,6.1,6.26,6.18,0.21,3.3981,6.3537,37244382,236762229.24,3745693414.17,3745693414.17
2019-03-14,'300173,жг╩шки╣б,6.18,6.48,5.71,6.25,6.32,-0.14,-2.2152,5.5181,32345975,197927210.77,3622595508.54,3622595508.54
2019-03-13,'300173,жг╩шки╣б,6.32,6.6,6.06,6.22,6.29,0.03,0.4769,7.8418,45967366,288956878.58,3704660778.96,3704660778.96
2019-03-12,'300173,жг╩шки╣б,6.29,6.38,5.96,5.96,5.95,0.34,5.7143,8.5649,50205488,308479480.92,3687075363.87,3687075363.87
2019-03-11,'300173,жг╩шки╣б,5.95,5.95,5.67,5.75,5.64,0.31,5.4965,5.0518,29612899,172542173.24,3487773992.85,3487773992.85
2019-03-08,'300173,жг╩шки╣б,5.64,6.11,5.63,6.0,6.25,-0.61,-9.76,6.6547,39008460,230968427.03,3306058036.92,3306058036.92
2019-03-07,'300173,жг╩шки╣б,6.25,6.43,5.85,6.03,6.09,0.16,2.6273,9.659,56618885,347248720.3,3663628143.75,3663628143.75
2019-03-06,'300173,жг╩шки╣б,6.09,6.24,5.82,5.83,5.85,0.24,4.1026,7.7248,45281141,270832395.61,3569839263.27,3569839263.27
2019-03-05,'300173,жг╩шки╣б,5.85,5.9,5.58,5.58,5.63,0.22,3.9076,7.6459,44818633,257402760.1,3429155942.55,3429155942.55
2019-03-04,'300173,жг╩шки╣б,5.63,5.8,5.43,5.5,5.49,0.14,2.5501,6.1008,35761924,200522131.14,3300196231.89,3300196231.89
2019-03-01,'300173,жг╩шки╣б,5.49,5.55,5.23,5.46,5.42,0.07,1.2915,3.5223,20647099,111683994.28,3218130961.47,3218130961.47
2019-02-28,'300173,жг╩шки╣б,5.42,5.52,5.33,5.38,5.45,-0.03,-0.5505,3.0674,17980715,97380552.11,3177098326.26,3177098326.26
2019-02-27,'300173,жг╩шки╣б,5.45,5.72,5.4,5.66,5.8,-0.35,-6.0345,6.2045,36369849,202449363.46,3194683741.35,3194683741.35
2019-02-26,'300173,жг╩шки╣б,5.8,5.98,5.38,5.51,5.6,0.2,3.5714,9.6343,56474575,319376365.9,3399846917.4,3399846917.4
2019-02-25,'300173,жг╩шки╣б,5.6,5.64,5.26,5.29,5.28,0.32,6.0606,6.3941,37480805,203957231.86,3282610816.8,3282610816.8
2019-02-22,'300173,жг╩шки╣б,5.28,5.38,5.12,5.15,5.18,0.1,1.9305,3.9026,22876566,119675285.05,3095033055.84,3095033055.84
