ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-04-26,'002615,นþถ๛หน,6.18,6.37,6.18,6.3,6.27,-0.09,-1.4354,0.6739,2765700,17359757.25,2536272000.0,2536272000.0
2019-04-25,'002615,นþถ๛หน,6.27,6.57,6.27,6.45,6.5,-0.23,-3.5385,0.877,3599125,23123261.75,2573208000.0,2573208000.0
2019-04-24,'002615,นþถ๛หน,6.5,6.58,6.32,6.38,6.43,0.07,1.0886,0.7392,3033655,19443863.85,2667600000.0,2667600000.0
2019-04-23,'002615,นþถ๛หน,6.43,6.7,6.38,6.65,6.72,-0.29,-4.3155,1.2817,5259977,34202881.59,2638872000.0,2638872000.0
2019-04-22,'002615,นþถ๛หน,6.72,6.85,6.69,6.8,6.8,-0.08,-1.1765,0.7978,3274100,22131634.25,2757888000.0,2757888000.0
2019-04-19,'002615,นþถ๛หน,6.8,6.84,6.68,6.76,6.77,0.03,0.4431,0.8291,3402425,22951061.25,2790720000.0,2790720000.0
2019-04-18,'002615,นþถ๛หน,6.77,6.94,6.75,6.93,6.91,-0.14,-2.026,0.8989,3689225,25117379.0,2778408000.0,2778408000.0
2019-04-17,'002615,นþถ๛หน,6.91,7.1,6.86,7.1,7.0,-0.09,-1.2857,1.1533,4733208,32767152.12,2835864000.0,2835864000.0
2019-04-16,'002615,นþถ๛หน,7.0,7.05,6.6,6.66,6.79,0.21,3.0928,1.6641,6829411,46654386.73,2872800000.0,2872800000.0
2019-04-15,'002615,นþถ๛หน,6.79,7.18,6.76,6.89,6.79,0.0,0.0,1.9269,7908115,55485270.58,2786616000.0,2786616000.0
2019-04-12,'002615,นþถ๛หน,6.79,7.0,6.71,7.0,7.0,-0.21,-3.0,1.4227,5838701,39876160.61,2786616000.0,2786616000.0
2019-04-11,'002615,นþถ๛หน,7.0,7.04,6.87,6.93,6.99,0.01,0.1431,1.2461,5114005,35611946.1,2872800000.0,2872800000.0
2019-04-10,'002615,นþถ๛หน,6.99,7.11,6.88,7.11,7.14,-0.15,-2.1008,1.4226,5838375,40711931.96,2868696000.0,2868696000.0
2019-04-09,'002615,นþถ๛หน,7.14,7.19,6.8,6.88,6.86,0.28,4.0816,2.3447,9622635,68269034.13,2930256000.0,2930256000.0
2019-04-08,'002615,นþถ๛หน,6.86,7.14,6.75,7.07,7.07,-0.21,-2.9703,2.2446,9211640,63755674.85,2815344000.0,2815344000.0
2019-04-04,'002615,นþถ๛หน,7.07,7.21,7.06,7.18,7.22,-0.15,-2.0776,2.1998,9027993,64184598.24,2901528000.0,2901528000.0
2019-04-03,'002615,นþถ๛หน,7.22,7.46,6.71,6.97,7.11,0.11,1.5471,4.1294,16947255,120094530.78,2963088000.0,2963088000.0
2019-04-02,'002615,นþถ๛หน,7.11,7.57,6.97,7.0,6.88,0.23,3.343,5.6802,23311454,168794613.15,2917944000.0,2917944000.0
2019-04-01,'002615,นþถ๛หน,6.88,6.88,6.25,6.25,6.25,0.63,10.08,2.4949,10239170,68317285.27,2823552000.0,2823552000.0
2019-03-29,'002615,นþถ๛หน,6.25,6.29,5.98,6.08,6.08,0.17,2.7961,0.7754,3182136,19527404.82,2565000000.0,2565000000.0
2019-03-28,'002615,นþถ๛หน,6.08,6.22,6.08,6.12,6.12,-0.04,-0.6536,0.6148,2523325,15511598.43,2495232000.0,2495232000.0
2019-03-27,'002615,นþถ๛หน,6.12,6.25,5.97,6.19,6.19,-0.07,-1.1309,1.112,4563576,27790719.36,2511648000.0,2511648000.0
2019-03-26,'002615,นþถ๛หน,6.19,6.53,6.11,6.49,6.5,-0.31,-4.7692,1.6013,6571851,41093395.53,2540376000.0,2540376000.0
2019-03-25,'002615,นþถ๛หน,6.5,6.58,6.33,6.4,6.44,0.06,0.9317,1.4675,6022720,39169894.7,2667600000.0,2667600000.0
