ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-04-26,'300206,ภํฐ๎าวฦ๗,8.12,8.37,8.04,8.04,8.21,-0.09,-1.0962,2.0863,12204928,100296916.0,4750200000.0,4750200000.0
2019-04-25,'300206,ภํฐ๎าวฦ๗,8.21,8.85,8.1,8.67,8.61,-0.4,-4.6458,1.92,11232150,95188510.64,4802850000.0,4802850000.0
2019-04-24,'300206,ภํฐ๎าวฦ๗,8.61,8.74,8.49,8.51,8.74,-0.13,-1.4874,1.9202,11233046,96681732.3,5036850000.0,5036850000.0
2019-04-23,'300206,ภํฐ๎าวฦ๗,8.74,9.35,8.42,9.3,9.36,-0.62,-6.6239,3.9007,22818828,200706718.3,5112900000.0,5112900000.0
2019-04-22,'300206,ภํฐ๎าวฦ๗,9.36,9.61,9.1,9.48,9.47,-0.11,-1.1616,2.7355,16002809,148726023.27,5475600000.0,5475600000.0
2019-04-19,'300206,ภํฐ๎าวฦ๗,9.47,9.6,8.72,8.75,8.79,0.68,7.7361,2.8591,16725895,152903297.36,5539950000.0,5539950000.0
2019-04-18,'300206,ภํฐ๎าวฦ๗,8.79,9.18,8.72,9.18,9.11,-0.32,-3.5126,2.3492,13742956,122258968.0,5142150000.0,5142150000.0
2019-04-17,'300206,ภํฐ๎าวฦ๗,9.11,9.22,8.58,8.7,8.38,0.73,8.7112,5.4833,32077074,286819496.42,5329350000.0,5329350000.0
2019-04-16,'300206,ภํฐ๎าวฦ๗,8.38,8.38,7.92,7.96,8.0,0.38,4.75,2.7243,15937082,131334919.89,4902300000.0,4902300000.0
2019-04-15,'300206,ภํฐ๎าวฦ๗,8.0,8.33,7.88,7.88,7.74,0.26,3.3592,2.9538,17279746,139247596.22,4680000000.0,4680000000.0
2019-04-12,'300206,ภํฐ๎าวฦ๗,7.74,8.04,7.68,7.84,7.98,-0.24,-3.0075,2.8602,16732144,131045394.72,4527900000.0,4527900000.0
2019-04-11,'300206,ภํฐ๎าวฦ๗,7.98,8.19,7.45,7.46,7.61,0.37,4.862,6.6098,38667424,304362831.14,4668300000.0,4668300000.0
2019-04-10,'300206,ภํฐ๎าวฦ๗,7.61,7.98,7.61,7.78,7.25,0.36,4.9655,6.0337,35297117,276990604.06,4451850000.0,4451850000.0
2019-04-09,'300206,ภํฐ๎าวฦ๗,7.25,7.27,7.07,7.21,7.12,0.13,1.8258,1.044,6107552,43727040.94,4241250000.0,4241250000.0
2019-04-08,'300206,ภํฐ๎าวฦ๗,7.12,7.25,6.94,7.24,7.19,-0.07,-0.9736,1.3688,8007730,56949600.08,4165200000.0,4165200000.0
2019-04-04,'300206,ภํฐ๎าวฦ๗,7.19,7.3,7.16,7.26,7.26,-0.07,-0.9642,1.101,6440827,46488934.63,4206150000.0,4206150000.0
2019-04-03,'300206,ภํฐ๎าวฦ๗,7.26,7.35,7.02,7.06,7.07,0.19,2.6874,1.7663,10332660,74841685.66,4247100000.0,4247100000.0
2019-04-02,'300206,ภํฐ๎าวฦ๗,7.07,7.2,7.06,7.17,7.1,-0.03,-0.4225,1.3303,7781969,55399331.46,4135950000.0,4135950000.0
2019-04-01,'300206,ภํฐ๎าวฦ๗,7.1,7.15,6.88,6.94,6.87,0.23,3.3479,1.6879,9873995,69328151.47,4153500000.0,4153500000.0
2019-03-29,'300206,ภํฐ๎าวฦ๗,6.87,6.91,6.62,6.67,6.66,0.21,3.1532,0.9935,5811866,39388667.18,4018950000.0,4018950000.0
2019-03-28,'300206,ภํฐ๎าวฦ๗,6.66,6.91,6.63,6.9,6.95,-0.29,-4.1727,0.9905,5794372,39237579.36,3896100000.0,3896100000.0
2019-03-27,'300206,ภํฐ๎าวฦ๗,6.95,6.95,6.79,6.87,6.84,0.11,1.6082,0.6486,3794250,26050263.5,4065750000.0,4065750000.0
2019-03-26,'300206,ภํฐ๎าวฦ๗,6.84,7.04,6.76,7.04,6.95,-0.11,-1.5827,0.7528,4403750,30340155.0,4001400000.0,4001400000.0
2019-03-25,'300206,ภํฐ๎าวฦ๗,6.95,7.15,6.94,7.08,7.17,-0.22,-3.0683,1.269,7423550,52310431.62,4065750000.0,4065750000.0
2019-03-22,'300206,ภํฐ๎าวฦ๗,7.17,7.22,7.0,7.1,7.08,0.09,1.2712,1.4139,8271430,58942142.6,4194450000.0,4194450000.0
2019-03-21,'300206,ภํฐ๎าวฦ๗,7.08,7.14,6.87,6.96,6.88,0.2,2.907,1.4919,8727675,61783949.55,4141800000.0,4141800000.0
2019-03-20,'300206,ภํฐ๎าวฦ๗,6.88,6.99,6.7,6.95,6.99,-0.11,-1.5737,0.9998,5848634,40166121.07,4024800000.0,4024800000.0
2019-03-19,'300206,ภํฐ๎าวฦ๗,6.99,7.0,6.89,6.96,6.97,0.02,0.2869,1.0049,5878542,40803984.11,4089150000.0,4089150000.0
2019-03-18,'300206,ภํฐ๎าวฦ๗,6.97,6.98,6.73,6.82,6.8,0.17,2.5,1.0923,6389895,44126433.55,4077450000.0,4077450000.0
2019-03-15,'300206,ภํฐ๎าวฦ๗,6.8,6.85,6.63,6.63,6.63,0.17,2.5641,0.9838,5754970,38849150.85,3978000000.0,3978000000.0
2019-03-14,'300206,ภํฐ๎าวฦ๗,6.63,6.89,6.52,6.75,6.76,-0.13,-1.9231,1.2885,7537794,50235974.88,3878550000.0,3878550000.0
2019-03-13,'300206,ภํฐ๎าวฦ๗,6.76,6.98,6.73,6.98,7.0,-0.24,-3.4286,1.3331,7798850,53383969.5,3954600000.0,3954600000.0
2019-03-12,'300206,ภํฐ๎าวฦ๗,7.0,7.06,6.87,7.05,7.01,-0.01,-0.1427,2.3968,14021517,97799201.1,4095000000.0,4095000000.0
2019-03-11,'300206,ภํฐ๎าวฦ๗,7.01,7.02,6.56,6.57,6.58,0.43,6.535,3.269,19123600,128837571.84,4100850000.0,4100850000.0
2019-03-08,'300206,ภํฐ๎าวฦ๗,6.58,6.94,6.58,6.82,7.0,-0.42,-6.0,1.6627,9726561,65805654.98,3849300000.0,3849300000.0
2019-03-07,'300206,ภํฐ๎าวฦ๗,7.0,7.11,6.92,7.09,7.1,-0.1,-1.4085,1.8171,10630022,74617121.28,4095000000.0,4095000000.0
2019-03-06,'300206,ภํฐ๎าวฦ๗,7.1,7.18,6.88,7.03,6.98,0.12,1.7192,1.9165,11211319,78750497.95,4153500000.0,4153500000.0
2019-03-05,'300206,ภํฐ๎าวฦ๗,6.98,6.98,6.71,6.78,6.8,0.18,2.6471,1.2881,7535506,51664941.64,4083300000.0,4083300000.0
2019-03-04,'300206,ภํฐ๎าวฦ๗,6.8,6.97,6.71,6.71,6.72,0.08,1.1905,1.1699,6844203,46909967.75,3978000000.0,3978000000.0
2019-03-01,'300206,ภํฐ๎าวฦ๗,6.72,6.78,6.58,6.75,6.75,-0.03,-0.4444,0.6546,3829400,25536926.66,3931200000.0,3931200000.0
2019-02-28,'300206,ภํฐ๎าวฦ๗,6.75,6.95,6.6,6.62,6.62,0.13,1.9637,1.0118,5918848,40099841.56,3948750000.0,3948750000.0
2019-02-27,'300206,ภํฐ๎าวฦ๗,6.62,6.81,6.57,6.75,6.81,-0.19,-2.79,0.8981,5253685,35258437.37,3872700000.0,3872700000.0
2019-02-26,'300206,ภํฐ๎าวฦ๗,6.81,6.93,6.61,6.68,6.74,0.07,1.0386,1.272,7441293,50579657.51,3983850000.0,3983850000.0
2019-02-25,'300206,ภํฐ๎าวฦ๗,6.74,6.78,6.61,6.71,6.47,0.27,4.1731,1.3045,7631344,51031608.05,3942900000.0,3942900000.0
2019-02-22,'300206,ภํฐ๎าวฦ๗,6.47,6.51,6.24,6.27,6.32,0.15,2.3734,0.7163,4190253,26701130.56,3784950000.0,3784950000.0
2019-02-21,'300206,ภํฐ๎าวฦ๗,6.32,6.48,6.2,6.3,6.34,-0.02,-0.3155,0.8639,5053850,31988158.5,3697200000.0,3697200000.0
2019-02-20,'300206,ภํฐ๎าวฦ๗,6.34,6.38,6.21,6.38,6.38,-0.04,-0.627,0.4547,2660255,16735114.55,3708900000.0,3708900000.0
2019-02-19,'300206,ภํฐ๎าวฦ๗,6.38,6.46,6.26,6.4,6.38,0.0,0.0,0.427,2497900,15865814.0,3732300000.0,3732300000.0
2019-02-18,'300206,ภํฐ๎าวฦ๗,6.38,6.43,6.24,6.25,6.23,0.15,2.4077,0.4532,2651244,16829175.28,3732300000.0,3732300000.0
2019-02-15,'300206,ภํฐ๎าวฦ๗,6.23,6.29,6.21,6.24,6.26,-0.03,-0.4792,0.3174,1856702,11577901.2,3644550000.0,3644550000.0
2019-02-14,'300206,ภํฐ๎าวฦ๗,6.26,6.37,6.22,6.27,6.27,-0.01,-0.1595,0.4036,2360875,14832805.75,3662100000.0,3662100000.0
2019-02-13,'300206,ภํฐ๎าวฦ๗,6.27,6.36,6.13,6.19,6.17,0.1,1.6207,0.5196,3039600,19004936.0,3667950000.0,3667950000.0
2019-02-12,'300206,ภํฐ๎าวฦ๗,6.17,6.21,6.14,6.18,6.15,0.02,0.3252,0.2335,1365987,8435856.16,3609450000.0,3609450000.0
