хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-26,'002141,ом╥А©ь╧и,4.64,4.79,4.5,4.67,4.71,-0.07,-1.4862,1.9319,12298700,57927978.0,5264806248.16,2953861120.0
2019-04-25,'002141,ом╥А©ь╧и,4.71,5.03,4.66,5.03,5.1,-0.39,-7.6471,3.6862,23466800,115052140.0,5344232204.49,2998423680.0
2019-04-24,'002141,ом╥А©ь╧и,5.1,5.15,4.91,4.99,4.95,0.15,3.0303,5.3454,34029369,171898061.2,5786748246.9,3246700800.0
2019-04-23,'002141,ом╥А©ь╧и,4.95,5.05,4.76,4.9,4.91,0.04,0.8147,3.6379,23159058,113674509.79,5616549769.05,3151209600.0
2019-04-22,'002141,ом╥А©ь╧и,4.91,4.95,4.73,4.74,4.73,0.18,3.8055,5.3862,34289077,166863328.48,5571163508.29,3125745280.0
2019-04-19,'002141,ом╥А©ь╧и,4.73,4.74,4.54,4.58,4.55,0.18,3.956,2.6892,17119719,79525918.5,5366925334.87,3011155840.0
2019-04-18,'002141,ом╥А©ь╧и,4.55,4.62,4.51,4.58,4.63,-0.08,-1.7279,1.8565,11818803,54023684.24,5162687161.45,2896566400.0
2019-04-17,'002141,ом╥А©ь╧и,4.63,4.66,4.44,4.64,4.69,-0.06,-1.2793,2.6316,16753226,77053715.36,5253459682.97,2947495040.0
2019-04-16,'002141,ом╥А©ь╧и,4.69,4.69,4.49,4.61,4.64,0.05,1.0776,1.6367,10419253,47841768.68,5321539074.11,2985691520.0
2019-04-15,'002141,ом╥А©ь╧и,4.64,4.76,4.64,4.67,4.63,0.01,0.216,1.4211,9046600,42521334.0,5264806248.16,2953861120.0
2019-04-12,'002141,ом╥А©ь╧и,4.63,4.71,4.57,4.68,4.69,-0.06,-1.2793,1.5683,9984203,46278750.86,5253459682.97,2947495040.0
2019-04-11,'002141,ом╥А©ь╧и,4.69,4.75,4.67,4.72,4.72,-0.03,-0.6356,1.4747,9387751,44207545.64,5321539074.11,2985691520.0
2019-04-10,'002141,ом╥А©ь╧и,4.72,4.8,4.68,4.78,4.82,-0.1,-2.0747,2.2416,14270111,67560804.2,5355578769.68,3004789760.0
2019-04-09,'002141,ом╥А©ь╧и,4.82,4.85,4.69,4.73,4.77,0.05,1.0482,1.9179,12209348,58413240.44,5469044421.58,3068450560.0
