�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'000795,荎醫貌,4.8,5.03,4.8,5.0,5.08,-0.28,-5.5118,2.5611,22767507,111583067.34,5441683694.4,4267072934.4
2019-04-25,'000795,荎醫貌,5.08,5.35,5.07,5.22,5.22,-0.14,-2.682,2.7778,24694065,129290231.78,5759115243.24,4515985522.24
2019-04-24,'000795,荎醫貌,5.22,5.27,5.13,5.25,5.31,-0.09,-1.6949,1.862,16553008,86090492.32,5917831017.66,4640441816.16
2019-04-23,'000795,荎醫貌,5.31,5.45,5.11,5.3,5.31,0.0,0.0,3.0755,27340008,143878752.38,6019862586.93,4720449433.68
2019-04-22,'000795,荎醫貌,5.31,5.45,5.27,5.33,5.32,-0.01,-0.188,3.2105,28540348,152768663.06,6019862586.93,4720449433.68
2019-04-19,'000795,荎醫貌,5.32,5.39,5.1,5.26,5.27,0.05,0.9488,3.1227,27760256,145927210.16,6031199427.96,4729339168.96
2019-04-18,'000795,荎醫貌,5.27,5.35,5.21,5.24,5.23,0.04,0.7648,2.0748,18444382,97419802.04,5974515222.81,4684890492.56
2019-04-17,'000795,荎醫貌,5.23,5.31,5.22,5.24,5.27,-0.04,-0.759,1.9998,17778042,93431001.4,5929167858.69,4649331551.44
2019-04-16,'000795,荎醫貌,5.27,5.28,5.02,5.07,5.1,0.17,3.3333,2.4055,21383882,111047825.62,5974515222.81,4684890492.56
2019-04-15,'000795,荎醫貌,5.1,5.31,5.09,5.27,5.22,-0.12,-2.2989,1.6981,15096102,78901120.38,5781788925.3,4533764992.8
2019-04-12,'000795,荎醫貌,5.22,5.25,5.13,5.16,5.17,0.05,0.9671,1.4351,12758078,66273027.44,5917831017.66,4640441816.16
2019-04-11,'000795,荎醫貌,5.17,5.31,5.15,5.24,5.24,-0.07,-1.3359,1.9018,16906328,88228842.76,5861146812.51,4595993139.76
2019-04-10,'000795,荎醫貌,5.24,5.33,5.18,5.31,5.38,-0.14,-2.6022,2.6805,23828524,125021843.04,5940504699.72,4658221286.72
2019-04-09,'000795,荎醫貌,5.38,5.51,5.31,5.51,5.51,-0.13,-2.3593,3.3478,29761350,159633017.78,6099220474.14,4782677580.64
2019-04-08,'000795,荎醫貌,5.51,5.65,5.4,5.46,5.45,0.06,1.1009,5.1341,45640866,251789457.58,6246599407.53,4898244139.28
2019-04-04,'000795,荎醫貌,5.45,5.61,5.38,5.56,5.4,0.05,0.9259,5.1145,45466569,249121842.25,6178578361.35,4844905727.6
2019-04-03,'000795,荎醫貌,5.4,5.47,5.34,5.4,5.53,-0.13,-2.3508,4.2616,37884209,204358265.37,6121894156.2,4800457051.2
2019-04-02,'000795,荎醫貌,5.53,5.57,5.18,5.26,5.23,0.3,5.7361,7.4177,65941435,354846389.15,6269273089.59,4916023609.84
2019-04-01,'000795,荎醫貌,5.23,5.29,5.04,5.05,5.05,0.18,3.5644,3.5017,31128910,161711162.54,5929167858.69,4649331551.44
2019-03-29,'000795,荎醫貌,5.05,5.07,4.9,4.93,4.92,0.13,2.6423,2.2601,20091538,100499448.32,5725104720.15,4489316316.4
2019-03-28,'000795,荎醫貌,4.92,5.06,4.9,4.95,5.0,-0.08,-1.6,1.7787,15812228,78564021.84,5577725786.76,4373749757.76
2019-03-27,'000795,荎醫貌,5.0,5.15,4.95,5.13,5.13,-0.13,-2.5341,2.3086,20522425,102963720.26,5668420515.0,4444867640.0
2019-03-26,'000795,荎醫貌,5.13,5.17,5.0,5.15,5.12,0.01,0.1953,2.7247,24221841,123432778.2,5815799448.39,4560434198.64
2019-03-25,'000795,荎醫貌,5.12,5.2,5.04,5.11,5.25,-0.13,-2.4762,2.32,20624300,105899571.94,5804462607.36,4551544463.36
2019-03-22,'000795,荎醫貌,5.25,5.29,5.17,5.21,5.22,0.03,0.5747,2.7308,24276281,126964176.01,5951841540.75,4667111022.0
2019-03-21,'000795,荎醫貌,5.22,5.32,5.15,5.19,5.19,0.03,0.578,3.5496,31554650,164842864.48,5917831017.66,4640441816.16
2019-03-20,'000795,荎醫貌,5.19,5.34,5.08,5.32,5.39,-0.2,-3.7106,4.961,44101861,229161293.76,5883820494.57,4613772610.32
2019-03-19,'000795,荎醫貌,5.39,5.49,5.32,5.33,5.52,-0.13,-2.3551,4.9132,43676629,235222078.75,6110557315.17,4791567315.92
2019-03-18,'000795,荎醫貌,5.52,6.12,5.45,5.9,5.64,-0.12,-2.1277,9.848,87546498,495615492.22,6257936248.56,4907133874.56
2019-03-15,'000795,荎醫貌,5.64,5.65,5.22,5.4,5.44,0.2,3.6765,10.1994,90670070,495537761.22,6393978340.92,5013810697.92
2019-03-14,'000795,荎醫貌,5.44,5.66,5.05,5.1,5.22,0.22,4.2146,10.1914,90598912,486992604.64,6167241520.32,4836015992.32
2019-03-13,'000795,荎醫貌,5.22,5.42,5.0,5.15,5.17,0.05,0.9671,7.3607,65435007,337945256.76,5917831017.66,4640441816.16
2019-03-12,'000795,荎醫貌,5.17,5.27,5.06,5.14,5.19,-0.02,-0.3854,6.2538,55594808,286888721.06,5861146812.51,4595993139.76
2019-03-11,'000795,荎醫貌,5.19,5.25,4.95,5.09,5.05,0.14,2.7723,6.2594,55644420,285202738.57,5883820494.57,4613772610.32
2019-03-08,'000795,荎醫貌,5.05,5.7,5.04,5.36,5.36,-0.31,-5.7836,12.2916,109269200,587387678.41,5725104720.15,4489316316.4
2019-03-07,'000795,荎醫貌,5.36,5.36,4.91,5.0,4.87,0.49,10.0616,11.4666,101934707,531535984.1,6076546792.08,4764898110.08
2019-03-06,'000795,荎醫貌,4.87,4.87,4.45,4.51,4.43,0.44,9.9323,5.0874,45225871,211722634.6,5521041581.61,4329301081.36
2019-03-05,'000795,荎醫貌,4.43,4.47,4.27,4.27,4.31,0.12,2.7842,3.2501,28892620,126800888.02,5022220576.29,3938152729.04
2019-03-04,'000795,荎醫貌,4.31,4.39,4.25,4.26,4.25,0.06,1.4118,2.7932,24831235,107358747.61,4886178483.93,3831475905.68
2019-03-01,'000795,荎醫貌,4.25,4.31,4.16,4.28,4.26,-0.01,-0.2347,1.3825,12289926,51872757.84,4818157437.75,3778137494.0
2019-02-28,'000795,荎醫貌,4.26,4.32,4.22,4.28,4.25,0.01,0.2353,1.4385,12788302,54519289.46,4829494278.78,3787027229.28
2019-02-27,'000795,荎醫貌,4.25,4.38,4.2,4.31,4.31,-0.06,-1.3921,2.959,26304794,112935243.7,4818157437.75,3778137494.0
