�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'300345,綻迻陔第,6.11,6.28,5.96,6.25,6.22,-0.11,-1.7685,2.7323,12057500,73866886.1,2696315401.13,2696315401.13
2019-04-25,'300345,綻迻陔第,6.22,6.54,6.15,6.28,6.35,-0.13,-2.0472,3.5509,15669932,99178532.16,2744857904.26,2744857904.26
2019-04-24,'300345,綻迻陔第,6.35,6.43,6.11,6.43,6.29,0.06,0.9539,2.8106,12403168,78469782.68,2802226317.05,2802226317.05
2019-04-23,'300345,綻迻陔第,6.29,6.68,6.28,6.4,6.4,-0.11,-1.7188,4.55,20078825,130045390.1,2775748588.07,2775748588.07
2019-04-22,'300345,綻迻陔第,6.4,6.7,6.33,6.7,6.56,-0.16,-2.439,4.7353,20896801,135378959.68,2824291091.2,2824291091.2
2019-04-19,'300345,綻迻陔第,6.56,6.7,6.26,6.37,6.41,0.15,2.3401,4.8094,21223556,138243616.16,2894898368.48,2894898368.48
2019-04-18,'300345,綻迻陔第,6.41,6.59,5.99,6.04,6.14,0.27,4.3974,6.2558,27606757,175586966.99,2828704046.03,2828704046.03
2019-04-17,'300345,綻迻陔第,6.14,6.2,5.7,5.76,5.88,0.26,4.4218,5.8322,25737390,153151543.57,2709554265.62,2709554265.62
2019-04-16,'300345,綻迻陔第,5.88,5.94,5.68,5.7,5.86,0.02,0.3413,5.0212,22158413,128873095.17,2594817440.04,2594817440.04
2019-04-15,'300345,綻迻陔第,5.86,6.07,5.52,5.61,5.52,0.34,6.1594,7.7323,34122141,200711885.11,2585991530.38,2585991530.38
2019-04-12,'300345,綻迻陔第,5.52,5.67,5.39,5.6,5.61,-0.09,-1.6043,4.1491,18309818,101039510.91,2435951066.16,2435951066.16
2019-04-11,'300345,綻迻陔第,5.61,5.84,5.4,5.58,5.56,0.05,0.8993,7.2277,31895368,178954214.65,2475667659.63,2475667659.63
2019-04-10,'300345,綻迻陔第,5.56,5.74,5.13,5.2,5.22,0.34,6.5134,11.2706,49736708,277202867.46,2453602885.48,2453602885.48
2019-04-09,'300345,綻迻陔第,5.22,5.29,5.06,5.07,5.04,0.18,3.5714,3.5249,15555060,81006774.02,2303562421.26,2303562421.26
2019-04-08,'300345,綻迻陔第,5.04,5.24,4.95,5.23,5.2,-0.16,-3.0769,2.8622,12630908,64329372.04,2224129234.32,2224129234.32
2019-04-04,'300345,綻迻陔第,5.2,5.25,5.15,5.18,5.18,0.02,0.3861,2.5516,11260196,58551683.95,2294736511.6,2294736511.6
2019-04-03,'300345,綻迻陔第,5.18,5.24,5.08,5.15,5.21,-0.03,-0.5758,2.7997,12354943,63881069.05,2285910601.94,2285910601.94
2019-04-02,'300345,綻迻陔第,5.21,5.35,5.16,5.35,5.23,-0.02,-0.3824,3.225,14231851,74579843.79,2299149466.43,2299149466.43
2019-04-01,'300345,綻迻陔第,5.23,5.28,5.04,5.07,5.01,0.22,4.3912,3.9741,17537534,91239890.06,2307975376.09,2307975376.09
2019-03-29,'300345,綻迻陔第,5.01,5.03,4.85,4.85,4.85,0.16,3.299,2.2416,9891976,49052727.72,2210890369.83,2210890369.83
2019-03-28,'300345,綻迻陔第,4.85,5.02,4.85,4.98,4.96,-0.11,-2.2177,2.1237,9371900,46126128.0,2140283092.55,2140283092.55
2019-03-27,'300345,綻迻陔第,4.96,5.06,4.8,4.96,4.99,-0.03,-0.6012,2.6622,11748343,57917718.7,2188825595.68,2188825595.68
2019-03-26,'300345,綻迻陔第,4.99,5.36,4.97,5.36,5.35,-0.36,-6.729,4.5472,20066400,103569576.56,2202064460.17,2202064460.17
2019-03-25,'300345,綻迻陔第,5.35,5.44,5.03,5.15,5.2,0.15,2.8846,5.2795,23298308,123179157.2,2360930834.05,2360930834.05
2019-03-22,'300345,綻迻陔第,5.2,5.26,5.09,5.11,5.02,0.18,3.5857,5.5326,24415015,126491169.18,2294736511.6,2294736511.6
2019-03-21,'300345,綻迻陔第,5.02,5.02,4.92,4.93,4.95,0.07,1.4141,3.0119,13291205,66186646.41,2215303324.66,2215303324.66
2019-03-20,'300345,綻迻陔第,4.95,5.08,4.84,5.07,5.07,-0.12,-2.3669,3.343,14752352,72963390.5,2184412640.85,2184412640.85
2019-03-19,'300345,綻迻陔第,5.07,5.09,4.91,4.98,4.95,0.12,2.4242,3.5249,15555174,77807025.84,2237368098.81,2237368098.81
2019-03-18,'300345,綻迻陔第,4.95,5.01,4.82,4.86,4.9,0.05,1.0204,3.4094,15045365,74126561.65,2184412640.85,2184412640.85
2019-03-15,'300345,綻迻陔第,4.9,5.06,4.81,4.82,4.85,0.05,1.0309,3.4006,15006660,74129026.51,2162347866.7,2162347866.7
2019-03-14,'300345,綻迻陔第,4.85,5.1,4.77,4.95,5.11,-0.26,-5.0881,4.3591,19236420,94847425.8,2140283092.55,2140283092.55
2019-03-13,'300345,綻迻陔第,5.11,5.53,5.06,5.53,5.54,-0.43,-7.7617,6.3386,27972170,147859671.38,2255019918.13,2255019918.13
2019-03-12,'300345,綻迻陔第,5.54,5.85,5.43,5.49,5.56,-0.02,-0.3597,7.3613,32485088,180421417.64,2444776975.82,2444776975.82
2019-03-11,'300345,綻迻陔第,5.56,5.72,5.03,5.1,5.37,0.19,3.5382,9.3715,41355899,219414743.71,2453602885.48,2453602885.48
2019-03-08,'300345,綻迻陔第,5.37,5.95,5.2,5.95,5.42,-0.05,-0.9225,14.5437,64180856,364305181.71,2369756743.71,2369756743.71
2019-03-07,'300345,綻迻陔第,5.42,5.42,5.42,5.42,4.93,0.49,9.9391,0.3587,1582966,8579675.72,2391821517.86,2391821517.86
2019-03-06,'300345,綻迻陔第,0.0,0.0,0.0,0.0,4.93,None,None,0.0,0,0.0,2175586731.19,2175586731.19
2019-03-05,'300345,綻迻陔第,4.93,4.93,4.67,4.77,4.79,0.14,2.9228,9.1708,40470487,193758817.0,2175586731.19,2175586731.19
2019-03-04,'300345,綻迻陔第,4.79,4.95,4.63,4.63,4.75,0.04,0.8421,10.7708,47530871,226360654.52,2113805363.57,2113805363.57
2019-03-01,'300345,綻迻陔第,4.75,4.88,4.33,4.5,4.61,0.14,3.0369,12.6453,55803315,254838185.45,2096153544.25,2096153544.25
2019-02-28,'300345,綻迻陔第,4.61,4.91,4.55,4.6,4.46,0.15,3.3632,19.0431,84036130,396720251.02,2034372176.63,2034372176.63
2019-02-27,'300345,綻迻陔第,4.46,4.46,4.01,4.03,4.05,0.41,10.1235,5.542,24456538,106900410.82,1968177854.18,1968177854.18
2019-02-26,'300345,綻迻陔第,4.05,4.24,3.98,4.0,4.02,0.03,0.7463,5.1493,22723524,93422939.64,1787246706.15,1787246706.15
2019-02-25,'300345,綻迻陔第,4.02,4.08,3.88,3.89,3.86,0.16,4.1451,5.317,23463534,93334606.48,1774007841.66,1774007841.66
2019-02-22,'300345,綻迻陔第,3.86,3.87,3.77,3.8,3.8,0.06,1.5789,2.0786,9172671,35149616.16,1703400564.38,1703400564.38
