股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,股票涨跌幅6,总涨跌幅,
世荣兆业_1002016.csv,-0.4069,-4.0976,0.0,-1.537,-1.4205,-0.7519,-8.213899999999999,
中京电子_1002579.csv,-2.569,-6.9912,-4.6414,-1.5781,-1.2305,-1.7728,-18.782999999999998,
中国海防_0600764.csv,-1.5862,-5.2288,0.0,-4.8507,-1.0462,-0.9146,-13.6265,
中国重工_0601989.csv,-2.0374,-3.7582,-0.8104,-5.2227,-2.6906,-0.8889,-15.408199999999999,
中航沈飞_0600760.csv,-1.7152,-3.7983,-0.7417,-2.9394,-0.8918,-0.9423,-11.028699999999999,
中船科技_0600072.csv,-2.6638,-5.5102,-2.9062,-8.9597,-4.6991,-2.8396,-27.578599999999998,
中船防务_0600685.csv,-4.8125,-4.7619,-0.5329,-9.534,-4.0596,-1.3685,-25.0694,
亚星锚链_0601890.csv,-2.7273,-6.7797,-1.6667,-7.2165,-3.9604,-2.8846,-25.2352,
京能电力_0600578.csv,0.0,-4.1298,0.0,-1.1662,-0.2907,-1.9943,-7.581,
伊力特_0600197.csv,-10.0,-2.8741,0.0,-0.0495,-2.5579,-1.8475,-17.329,
农发种业_0600313.csv,-4.6512,-1.634,0.0,-1.9231,0.0,-0.6369,-8.8452,
刚泰控股_0600687.csv,-4.9383,-2.1148,-1.194,-4.8295,-2.7624,-4.9869,-20.825899999999997,
北化股份_1002246.csv,-0.2286,-6.7164,-1.0549,-0.8368,-5.3465,-0.8832,-15.0664,
华宝股份_1300741.csv,-2.2191,-0.8633,-1.319,-2.9341,-1.2121,-0.3937,-8.9413,
南京化纤_0600889.csv,-2.5597,-4.8701,0.0,0.0,-2.9921,-0.936,-11.3579,
南岭民爆_1002096.csv,-4.2398,-7.0652,-0.5405,-0.4038,-1.0652,-1.1842,-14.4987,
博闻科技_0600883.csv,-3.8564,-3.7132,-0.1279,-0.6353,-3.198,-0.6112,-12.142,
厦工股份_0600815.csv,-3.7249,-5.163,-1.3405,-2.611,-4.7264,-4.5131,-22.078900000000004,
厦门象屿_0600057.csv,-2.544,-3.0361,-0.1894,-0.189,-2.7574,-1.8051,-10.520999999999999,
双林股份_1300100.csv,-2.2774,-5.7561,-0.2918,-1.5326,-1.7874,-0.6542,-12.2995,
嘉事堂_1002462.csv,-2.8255,-0.551,-2.4194,-1.3786,-0.6846,-0.0526,-7.9117,
国电电力_0600795.csv,-2.2305,-1.8248,-0.7246,-0.361,-1.0714,-0.3559,-6.568199999999999,
国药一致_1000028.csv,-1.0549,-0.3783,-0.585,-0.6848,-0.8232,-0.3282,-3.8544,
大连重工_1002204.csv,-1.0256,-4.878,-0.2433,-4.1958,-3.3784,-0.6711,-14.392199999999999,
天和防务_1300397.csv,-0.5882,-5.1095,-0.9779,-5.92,-9.2559,-2.2356,-24.0871,
天海防务_1300008.csv,-0.2611,-6.5854,-1.2048,-2.8103,-4.2601,-3.0435,-18.1652,
天润乳业_0600419.csv,-2.7904,-0.8366,-0.7663,-0.1276,-2.1834,-0.743,-7.4473,
宁波高发_0603788.csv,-1.7305,-3.5182,-1.6999,-1.1587,-2.7057,-0.8385,-11.6515,
安奈儿_1002875.csv,-0.7295,-2.4898,-1.1552,-1.6304,-3.2505,-1.784,-11.0394,
广东鸿图_1002101.csv,-0.5695,-3.4103,-0.6557,-6.6327,-2.3904,-2.4295,-16.0881,
广安爱众_0600979.csv,-3.3195,-3.0181,-0.6,-3.1008,-0.3861,-0.956,-11.3805,
快克股份_0603203.csv,-0.6383,-2.2463,-1.2325,-0.6125,-1.0105,-0.9211,-6.6612,
文投控股_0600715.csv,-1.4433,-5.0881,-2.4809,-4.3796,-4.363,-2.8814,-20.6363,
文灿股份_0603348.csv,-3.7122,-5.1304,-0.6479,-2.5673,-2.7027,-2.2418,-17.0023,
江龙船艇_1300589.csv,-4.351,-1.8813,0.0,-4.3599,-4.7462,-1.8123,-17.1507,
泰和新材_1002254.csv,-1.4744,-3.3529,-1.8914,0.0,-1.5385,-0.8828,-9.14,
深华发B_1200020.csv,0.0,-0.4149,0.0,-1.4315,-0.4073,-0.2033,-2.4570000000000003,
深深宝B_1200019.csv,-1.7812,-1.0076,-0.9975,-0.2488,-0.2481,-0.4938,-4.777,
游族网络_1002174.csv,-3.0348,-3.5866,-1.3501,-4.8294,-1.441,-1.8852,-16.1271,
焦作万方_1000612.csv,-0.216,-5.8943,0.0,-0.6061,-2.9412,-0.1957,-9.8533,
獐子岛_1002069.csv,-5.9091,-4.3478,-0.6479,-1.6985,-0.6329,-1.4553,-14.691499999999998,
玲珑轮胎_0601966.csv,-0.1743,-3.1514,-0.7817,-1.5934,-2.0452,-1.9525,-9.698500000000001,
甘肃电投_1000791.csv,-2.7335,-6.3966,0.0,-2.0408,-0.2907,-0.8646,-12.326199999999998,
粤电力A_1000539.csv,-1.0776,-4.1322,-1.0225,-1.6097,0.0,-1.1928,-9.0348,
粤高速B_1200429.csv,-0.1397,-0.5556,-0.1387,-0.2766,-0.4132,-0.1376,-1.6614,
航天晨光_0600501.csv,-0.2245,-5.414,-0.106,-3.2821,-2.5,-1.6716,-13.198199999999998,
贵人鸟_0603555.csv,-2.3121,-4.0222,-0.6887,-3.4574,-4.0816,-2.0,-16.561999999999998,
金力永磁_1300748.csv,-4.3568,-1.833,-0.9282,-0.3619,-4.5664,-2.3604,-14.4067,
青岛港_0601298.csv,-0.4372,-6.25,-2.5948,-5.5608,-2.5712,-1.626,-19.040000000000003,
顺鑫农业_1000860.csv,-0.8857,-0.9949,-1.3147,-0.0166,-2.7508,-0.7388,-6.7015,
飞荣达_1300602.csv,-1.3077,-1.452,-0.4266,-3.4554,-0.4329,-0.0228,-7.0974,
