股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,股票涨跌幅6,股票涨跌幅7,股票涨跌幅8,股票涨跌幅9,总涨跌幅,
紫光学大_1000526.csv,-0.7347,-5.8967,-2.5367,-1.9051,-2.019,-0.2281,-1.8284,-0.1118,-0.7032,-15.963700000000001,
苏大维格_1300331.csv,-1.8277,-1.3903,-2.4611,-2.0659,-1.2627,-2.4633,-1.6309,-1.1971,-3.0357,-17.3347,
诚迈科技_1300598.csv,-0.0331,-6.2907,-0.1238,-2.2686,-4.1739,-7.4074,-10.0,-10.0,-3.2597,-43.5572,
