股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,总涨跌幅,
人福医药_0600079.csv,-2.014,-3.2203,-1.7485,-1.8791,-3.8492,-12.711099999999998,
众信旅游_1002707.csv,-0.2963,-6.8966,-1.0914,-3.9318,-1.4212,-13.637300000000002,
会稽山_0601579.csv,-2.1505,-4.0248,-0.5133,-0.5107,-1.3105,-8.5098,
佛慈制药_1002644.csv,-2.4972,-2.8666,-0.9825,-2.5532,-2.2869,-11.186399999999999,
保利地产_0600048.csv,-0.4511,-0.4491,-0.2985,0.0,-5.6338,-6.8325,
保隆科技_0603197.csv,-4.4106,-4.0728,-1.2109,-2.6616,-1.7924,-14.1483,
信立泰_1002294.csv,-0.6617,-1.827,-0.3641,-3.0968,-0.855,-6.804600000000001,
倍加洁_0603059.csv,-0.6309,-4.2296,-1.2824,-10.0107,-2.4352,-18.5888,
光洋股份_1002708.csv,-9.292,0.0,-1.8458,-1.4973,-0.426,-13.061100000000001,
全聚德_1002186.csv,-0.3984,-3.7577,-0.1531,-1.8045,-0.8942,-7.007899999999999,
八一钢铁_0600581.csv,-6.8736,-4.8523,0.0,-3.2653,-3.3531,-18.3443,
八菱科技_1002592.csv,-9.6819,-9.9789,-7.6594,-10.007,-9.9843,-47.311499999999995,
冀东装备_1000856.csv,-0.8719,-6.3442,-0.1255,-2.448,-0.3659,-10.1555,
农业银行_0601288.csv,-0.5348,-0.7958,0.0,-0.2646,-1.8182,-3.4134,
凯利泰_1300326.csv,-1.1299,-1.4842,-2.6197,-0.6284,0.0,-5.8622,
利尔化学_1002258.csv,-1.5222,-3.6966,-5.2536,-1.3111,-3.0058,-14.7893,
利源精制_1002501.csv,-6.25,-7.8788,-0.6024,-4.5977,-2.7933,-22.122199999999996,
力生制药_1002393.csv,-2.0677,-3.2375,-0.8297,-2.3944,-0.4557,-8.985,
包钢股份_0600010.csv,-2.809,-1.6575,-0.5495,-0.5464,-1.6129,-7.1753,
北巴传媒_0600386.csv,-2.7311,-4.99,-0.3976,-1.3725,-0.9709,-10.462100000000001,
华创阳安_0600155.csv,-0.7294,-1.8229,-1.4121,-2.1357,-3.0451,-9.145199999999999,
华夏航空_1002928.csv,-1.5813,-0.3751,0.0,-2.9133,-2.4165,-7.2862,
华帝股份_1002035.csv,-3.1437,-4.5714,-2.0294,-1.1073,-4.7462,-15.597999999999999,
华扬联众_0603825.csv,-1.3115,-4.2085,-0.4378,-1.1132,-0.431,-7.502,
华润三九_1000999.csv,0.0,-1.88,-0.2524,-1.1056,-0.1069,-3.3449,
华源控股_1002787.csv,-0.8578,-4.7841,-0.8102,-0.2309,-2.4775,-9.160499999999999,
华荣股份_0603855.csv,-0.5447,-3.47,0.0,-0.8342,-3.2291,-8.078,
南京医药_0600713.csv,-1.5842,-2.6975,-0.1923,-1.7013,-1.306,-7.4813,
南山控股_1002314.csv,-1.1461,-3.0556,-1.3699,-2.6667,-2.0888,-10.327100000000002,
南山铝业_0600219.csv,-1.5385,-3.3457,0.0,-1.8248,-2.1429,-8.8519,
博信股份_0600083.csv,-1.7114,-2.067,-0.2786,-0.2778,-0.717,-5.0518,
厦门钨业_0600549.csv,-2.1201,-3.8069,-0.4062,-1.0054,-3.1169,-10.455499999999999,
双塔食品_1002481.csv,-7.6404,-4.7109,-0.8493,-1.4644,-4.4,-19.064999999999998,
古越龙山_0600059.csv,-0.5019,-5.792,-1.0526,-1.1561,0.0,-8.5026,
合众思壮_1002383.csv,-3.1323,-3.8404,-1.0432,-3.2444,0.0,-11.2603,
国光股份_1002749.csv,-1.6346,-3.0303,-0.2326,-0.876,-1.7663,-7.5398000000000005,
国投电力_0600886.csv,-1.7052,-1.4406,-0.2395,-0.7134,-1.4068,-5.505500000000001,
国旅联合_0600358.csv,-2.0408,-6.1303,-0.9488,-4.3557,-0.3617,-13.8373,
国泰集团_0603977.csv,-1.5075,-4.5564,-0.1198,-0.2389,-2.5611,-8.9837,
国轩高科_1002074.csv,0.0,-3.3095,-0.2589,-4.3936,-3.9239,-11.8859,
天华院_0600579.csv,-5.4409,-0.9294,-0.4625,0.0,-0.2768,-7.1096,
天奇股份_1002009.csv,-3.207,-3.8318,-0.0934,-3.6871,-3.3043,-14.1236,
天山生物_1300313.csv,-10.0145,-1.4306,-0.1429,-1.4085,-3.5326,-16.5291,
威孚高科_1000581.csv,-1.9663,-3.7838,-0.5376,-7.8448,-2.3387,-16.4712,
宁沪高速_0600377.csv,-0.4016,-1.1905,-0.7874,-0.4897,-0.0978,-2.9669999999999996,
宁通信B_1200468.csv,-0.5495,-4.4619,0.0,-0.7813,-1.0309,-6.8236,
宋城演艺_1300144.csv,-0.9409,-0.4904,-1.3632,0.0,-1.2163,-4.0108,
宏创控股_1002379.csv,-3.8043,-2.3873,-0.2646,-1.5625,-2.7848,-10.8035,
宏发股份_0600885.csv,-0.2013,-2.8549,-1.3884,-5.192,-1.4059,-11.0425,
宝新能源_1000690.csv,-0.9358,-2.7308,-2.0382,-0.2541,-0.2535,-6.2124,
山东高速_0600350.csv,-1.4315,-2.2,-0.1996,-1.9569,-0.5837,-6.371700000000001,
岭南股份_1002717.csv,-1.8141,-3.5011,-0.2183,-1.5054,-2.4134,-9.452300000000001,
工商银行_0601398.csv,-0.349,-1.3769,0.0,-0.3431,-2.5084,-4.5774,
巨轮智能_1002031.csv,-2.8926,-5.8366,-0.3876,-2.6415,-1.8519,-13.6102,
幸福蓝海_1300528.csv,-5.9076,-5.6738,-5.8206,-0.1905,-3.9341,-21.526600000000002,
广汇汽车_0600297.csv,-0.9747,-4.8237,-0.3697,-1.6364,-2.9982,-10.8027,
广深铁路_0601333.csv,-0.5831,-2.5568,0.0,-1.676,-0.831,-5.6469000000000005,
广百股份_1002187.csv,-1.3086,-3.1679,-0.3158,-0.9385,-1.7418,-7.4726,
延华智能_1002178.csv,-3.2189,-6.2374,-1.1928,-1.5656,-2.4809,-14.6956,
建科院_1300675.csv,-2.9565,-2.4183,-0.1271,-1.7485,-1.7185,-8.968900000000001,
开创国际_0600097.csv,-2.2375,-2.4349,-0.6672,-5.0673,-1.5588,-11.9657,
强力新材_1300429.csv,-0.0385,-4.2357,0.0,-2.723,-2.3443,-9.3415,
恒通股份_0603223.csv,-2.6701,-4.2869,-2.3349,-0.321,-0.7171,-10.330000000000002,
惠伦晶体_1300460.csv,-0.4435,-5.6485,-0.6237,-4.2786,-0.6917,-11.686,
拓日新能_1002218.csv,-3.5813,-5.7143,-0.2591,-3.0151,-0.5,-13.0698,
