股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,总涨跌幅,
三特索道_1002159.csv,-1.2633,-4.9015,-0.8103,-1.4561,-8.4312,
上机数控_0603185.csv,-8.5373,-0.1539,-0.5739,-1.1722,-10.4373,
上海石化_0600688.csv,-2.9575,-2.6978,-1.2433,-0.1773,-7.0759,
东北制药_1000597.csv,-3.0147,-1.5206,0.0,-1.216,-5.7513,
中信海直_1000099.csv,-0.3947,-4.0404,-0.7519,-5.3381,-10.5251,
中公高科_0603860.csv,-0.6969,-3.9491,-0.3668,-3.9398,-8.9526,
中利集团_1002309.csv,-1.7503,-6.2363,-1.9313,-7.3559,-17.2738,
中嘉博创_1000889.csv,-4.465,-1.5755,-0.1656,-1.3072,-7.5133,
中国石化_0600028.csv,-1.2216,-1.5464,-1.0204,-0.8432,-4.6316,
中国石油_0601857.csv,-1.1984,-1.8301,-0.6494,-0.3881,-4.066,
中捷资源_1002021.csv,-5.7627,-6.9401,-3.3537,-9.8901,-25.9466,
中油工程_0600339.csv,-1.9355,-2.5157,-2.0534,-0.6122,-7.1168,
中海油服_0601808.csv,-2.2461,-3.5782,-1.7576,-0.6434,-8.2253,
中矿资源_1002738.csv,-3.6295,-2.3797,-1.2533,-1.1868,-8.449300000000001,
中路B股_0900915.csv,-0.1067,-2.0899,-0.3125,-1.4374,-3.9465000000000003,
丽江旅游_1002033.csv,-1.6517,-4.5845,-0.5698,-1.9553,-8.7613,
丽鹏股份_1002374.csv,-3.1579,-2.5641,-2.0101,0.0,-7.732099999999999,
云南旅游_1002059.csv,-4.0,-4.8913,-3.0303,-3.0651,-14.986700000000003,
京粮B_1200505.csv,-0.5682,0.0,0.0,-0.2833,-0.8515,
京蓝科技_1000711.csv,0.0,-7.482,-0.7143,-1.9608,-10.157100000000002,
亿晶光电_0600537.csv,-2.445,-3.0806,-0.7059,-3.4091,-9.6406,
克来机电_0603960.csv,-2.1933,-0.3704,-1.9225,-0.5817,-5.0679,
全筑股份_0603030.csv,-1.0989,-1.3253,-2.2379,-2.1889,-6.850999999999999,
凤凰传媒_0601928.csv,-1.2315,-3.5629,0.0,-1.8648,-6.659199999999999,
凯众股份_0603037.csv,-2.8251,-3.5698,-0.4675,-3.8219,-10.6843,
利君股份_1002651.csv,-1.6854,-5.6537,-1.049,-4.1876,-12.5757,
北方股份_0600262.csv,-0.8901,-3.7275,-1.9328,-4.8,-11.3504,
华峰氨纶_1002064.csv,-2.0638,-3.6166,-1.25,-1.5817,-8.5121,
华正新材_0603186.csv,-1.3099,-4.5441,-0.0305,-1.5015,-7.386,
华谊集团_0600623.csv,-2.0496,-4.7276,-1.1179,-2.284,-10.179099999999998,
华通医药_1002758.csv,-7.4913,-1.0345,-9.7276,-7.7531,-26.0065,
华鼎股份_0601113.csv,-1.7083,-5.1122,-0.3727,-2.5424,-9.7356,
博迈科_0603727.csv,0.0,-5.1072,-2.1592,-4.7591,-12.0255,
厦门国贸_0600755.csv,-1.2717,-4.3142,-0.3308,-1.6269,-7.5436,
合盛硅业_0603260.csv,-3.2828,-2.6856,-0.6106,-1.8829,-8.4619,
合诚股份_0603909.csv,-1.6413,-4.4742,-0.8719,-1.8236,-8.811,
吉华集团_0603980.csv,-0.8135,-2.6204,-4.3149,-1.8879,-9.6367,
嘉诚国际_0603535.csv,-1.2381,-4.2844,-0.0911,-1.657,-7.2706,
国民技术_1300077.csv,-1.649,-6.3947,-0.1101,-3.095,-11.248800000000001,
国美通讯_0600898.csv,-3.2979,-3.0928,-2.6104,-0.3003,-9.3014,
国药股份_0600511.csv,-2.963,-2.8409,-1.4558,-2.2976,-9.557300000000001,
大业股份_0603278.csv,-1.7079,-3.542,-0.3284,-3.5629,-9.141200000000001,
天创时尚_0603608.csv,0.0,-2.3669,-0.5882,-2.2052,-5.160299999999999,
天通股份_0600330.csv,-0.4963,-5.1765,-0.8168,-1.4943,-7.983899999999999,
奥翔药业_0603229.csv,-1.7143,-2.3029,-0.0697,-2.116,-6.2029,
如通股份_0603036.csv,-1.2947,-4.5785,-0.0726,-4.3085,-10.2543,
姚记扑克_1002605.csv,-2.2814,-3.0415,-0.9132,-3.0115,-9.2476,
威派格_0603956.csv,-1.006,-0.4008,-3.2946,-3.4792,-8.1806,
安徽合力_0600761.csv,-1.8456,-2.1346,-3.4865,-1.1746,-8.6413,
安诺其_1300067.csv,-0.4539,-4.0639,-1.5714,-1.8233,-7.9125,
宝德股份_1300023.csv,-4.8175,-9.9869,-5.7001,-7.1346,-27.6391,
山东墨龙_1002490.csv,-2.045,-5.5985,-0.3846,-3.525,-11.5531,
岭南控股_1000524.csv,-1.7564,-3.3937,-0.2257,-3.2751,-8.6509,
川能动力_1000155.csv,-0.2075,-4.5545,-1.1742,-1.5414,-7.4776,
广汇物流_0600603.csv,-1.9342,-4.7882,-2.3381,-2.627,-11.6875,
康德莱_0603987.csv,-0.5362,-2.9909,-0.1299,-0.7732,-4.4302,
开尔新材_1300234.csv,-5.7743,-1.9726,-0.5119,-1.8425,-10.1013,
开开B股_0900943.csv,-1.1613,-1.3995,-0.1271,-0.6313,-3.3192,
开开实业_0600272.csv,-2.3864,-5.3763,-0.3215,-3.4161,-11.5003,
引力传媒_0603598.csv,-1.5933,-3.7872,-4.0657,-5.0903,-14.5365,
弘业股份_0600128.csv,-2.8729,-6.0228,-1.7347,-4.2033,-14.8337,
弘高创意_1002504.csv,-0.9709,-7.4157,-1.1111,-3.0172,-12.5149,
张裕A_1000869.csv,-2.0045,-3.2328,-0.6728,-1.2085,-7.1186,
张裕B_1200869.csv,-1.385,-1.6885,-0.2174,-0.1628,-3.4537,
恒力股份_0600346.csv,-3.3005,-1.9307,-1.455,-0.8874,-7.573600000000001,
恒泰艾普_1300157.csv,-1.8382,-9.0301,-3.0794,-1.9078,-15.8555,
恒逸石化_1000703.csv,-0.5309,-1.3098,-1.229,-1.7165,-4.7862,
恺英网络_1002517.csv,-0.7653,-7.109,-2.3148,-4.8458,-15.0349,
惠博普_1002554.csv,-0.8287,-7.888,0.0,-2.7228,-11.439499999999999,
成飞集成_1002190.csv,-3.1185,-3.5105,-0.0501,-4.5455,-11.224599999999999,
新日恒力_0600165.csv,-5.0,-9.9678,-3.2659,-3.5982,-21.831899999999997,
新通联_0603022.csv,-0.9901,-4.3158,-0.3148,-5.6436,-11.2643,
明牌珠宝_1002574.csv,-2.027,-5.4313,-2.9457,-0.7692,-11.1732,
普邦股份_1002663.csv,-0.289,-6.9892,0.0,-2.1053,-9.3835,
曲江文旅_0600706.csv,-1.1664,-4.0299,-0.5935,-6.5835,-12.3733,
朗新科技_1300682.csv,-0.5608,-4.2149,-0.6976,-10.0074,-15.4807,
杰瑞股份_1002353.csv,-2.7311,-1.9365,-5.9302,-1.5267,-12.1245,
桂林旅游_1000978.csv,-0.774,-4.4379,-0.1477,-3.6984,-9.058,
汇嘉时代_0603101.csv,-3.0952,-3.9634,-0.8314,-0.3765,-8.2665,
汇鸿集团_0600981.csv,0.0,-6.6908,-1.9504,-3.5897,-12.2309,
汉商集团_0600774.csv,-0.0758,-2.439,-0.1476,-5.112,-7.7744,
汉森制药_1002412.csv,-2.2826,-4.0667,-3.7149,-5.0977,-15.1619,
泰山石油_1000554.csv,-0.4559,-4.4993,-2.4079,-3.8147,-11.1778,
浙江龙盛_0600352.csv,-1.4563,0.0,-3.6483,-2.7298,-7.8344,
海峡环保_0603817.csv,-3.2895,-6.4039,0.0,-0.2457,-9.9391,
海峡股份_1002320.csv,-0.8553,-5.0,-1.1736,-2.2933,-9.3222,
海油工程_0600583.csv,-3.1826,-2.9268,-1.2841,-2.1978,-9.5913,
海默科技_1300084.csv,-2.3609,-4.3548,-1.7433,-4.2489,-12.707899999999999,
深冷股份_1300540.csv,-9.0398,-9.9916,-3.9676,-6.6515,-29.6505,
游久游戏_0600652.csv,-4.2184,-5.6206,-2.2883,-6.2232,-18.350499999999997,
漫步者_1002351.csv,-2.7915,-5.7276,-0.4622,-3.7092,-12.6905,
燕京啤酒_1000729.csv,-0.8427,-3.523,0.0,-3.1496,-7.5153,
珠江啤酒_1002461.csv,-2.1307,-5.3763,-0.5348,-2.9831,-11.0249,
石化机械_1000852.csv,-0.1089,-3.9749,-3.2389,-2.8515,-10.1742,
石大胜华_0603026.csv,-5.0,-2.7027,-6.6364,-2.5092,-16.848300000000002,
祥和实业_0603500.csv,-1.2261,-3.4049,-0.1478,-2.5216,-7.3004,
福瑞股份_1300049.csv,-6.2784,-5.9075,-1.5177,-2.5472,-16.250799999999998,
立思辰_1300010.csv,-0.3024,-4.7985,-1.4191,-1.215,-7.734999999999999,
第一医药_0600833.csv,-1.1268,-4.1404,-0.8921,-2.2668,-8.4261,
粤宏远A_1000573.csv,-5.305,-2.3316,0.0,-3.0151,-10.6517,
联发股份_1002394.csv,-2.0517,-2.3519,-0.6061,-3.3473,-8.357,
腾达建设_0600512.csv,0.0,-5.4054,-0.6711,-4.1801,-10.2566,
英特集团_1000411.csv,-0.8863,-5.1821,-3.4483,-0.0676,-9.5843,
英联股份_1002846.csv,-0.263,-10.0,-2.4812,-0.8581,-13.6023,
西安旅游_1000610.csv,-3.6857,-6.3802,-5.5351,-10.0166,-25.617600000000003,
西安饮食_1000721.csv,-1.9011,-6.0714,-1.9264,-6.8515,-16.7504,
西藏发展_1000752.csv,-1.4493,-2.9536,0.0,-4.9465,-9.3494,
赛隆药业_1002898.csv,-0.4572,-4.7886,-0.5566,-3.6353,-9.4377,
赤峰黄金_0600988.csv,-0.7299,-2.6066,0.0,-4.0909,-7.4274000000000004,
辉隆股份_1002556.csv,-3.6304,-3.6566,-0.9449,-2.1572,-10.3891,
通化东宝_0600867.csv,-0.3238,-2.6482,-1.7348,-1.8845,-6.5912999999999995,
重庆百货_0600729.csv,-3.673,-1.171,-4.7672,-0.3334,-9.9446,
金一文化_1002721.csv,-1.3333,-4.7955,-3.0096,-2.0107,-11.1491,
金发科技_0600143.csv,-0.7648,-3.1481,-1.6393,-4.5217,-10.0739,
金固股份_1002488.csv,-4.7151,-0.4888,-0.4864,-0.291,-5.9813,
铁流股份_0603926.csv,-1.2493,-2.2674,-2.8797,-1.6111,-8.0075,
锦州港_0600190.csv,-2.9255,-7.1605,0.0,-1.4599,-11.5459,
闰土股份_1002440.csv,-2.572,-3.3156,-3.2646,-0.5695,-9.7217,
闽发铝业_1002578.csv,-2.6596,-2.8424,-0.7692,-3.7037,-9.9749,
阳光股份_1000608.csv,-4.4928,-3.4965,-2.1888,-0.8141,-10.9922,
青山纸业_0600103.csv,-2.4465,-6.3037,0.0,-0.2857,-9.0359,
顺发恒业_1000631.csv,-0.8596,-4.6448,-0.2725,-2.3936,-8.1705,
黄山旅游_0600054.csv,-1.3501,-3.4752,-0.1735,-3.1906,-8.1894,
黑牡丹_0600510.csv,-2.0498,-4.073,-0.1403,-5.5629,-11.826,
鼎信通讯_0603421.csv,-1.1295,-1.8365,-2.1695,-3.1199,-8.2554,
鼎胜新材_0603876.csv,-2.0763,-5.2128,-0.7916,-1.7626,-9.8433,
