股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,总涨跌幅,
一致B_1200028.csv,0.0,-0.8781,-0.9739,-1.8519999999999999,
万华化学_0600309.csv,-3.3824,-2.7552,-2.0502,-8.1878,
万家乐_1000533.csv,-6.4246,-10.0503,-5.2381,-21.712999999999997,
万润科技_1002654.csv,0.0,-7.1291,-1.518,-8.6471,
万达电影_1002739.csv,-7.7453,-2.9898,-3.785,-14.5201,
万通地产_0600246.csv,-4.8936,-7.6621,-1.3566,-13.9123,
三全食品_1002216.csv,-1.625,-0.9901,0.0,-2.6151,
三木集团_1000632.csv,-1.1364,-4.6931,-3.4843,-9.3138,
三毛B股_0900922.csv,-1.4161,-1.0776,-0.6424,-3.1360999999999994,
三泰控股_1002312.csv,-0.9804,-8.3146,-2.1978,-11.492799999999999,
上海三毛_0600689.csv,-4.9674,-2.0734,-2.5641,-9.604899999999999,
上海临港_0600848.csv,-2.9851,-3.0088,-6.0283,-12.0222,
上海凤凰_0600679.csv,-0.304,-3.1641,-5.3621,-8.8302,
上海洗霸_0603200.csv,-1.1454,-1.7154,-0.9031,-3.7639000000000005,
上海物贸_0600822.csv,-1.6204,-2.8486,-3.3333,-7.802299999999999,
上海银行_0601229.csv,-2.08,-2.1143,-0.6226,-4.8169,
上港集团_0600018.csv,-3.5496,-3.7691,-4.9272,-12.245899999999999,
东山精密_1002384.csv,-3.2787,-4.6875,-4.0,-11.9662,
东方创业_0600278.csv,-0.9587,-10.0199,-2.4595,-13.4381,
中信重工_0601608.csv,-1.4315,-4.8638,-1.9084,-8.2037,
中南建设_1000961.csv,-0.5794,0.0,-0.2312,-0.8106,
中原高速_0600020.csv,-2.8517,-6.7376,-2.253,-11.8423,
中国人保_0601319.csv,-3.072,-0.7361,-0.7307,-4.5388,
中国平安_0601318.csv,-0.3477,-1.917,-1.1968,-3.4615,
中国银行_0601988.csv,-0.7712,-0.5115,-1.0127,-2.2954,
中广天择_0603721.csv,-1.8868,-2.5735,-1.8051,-6.2654,
中洲控股_1000042.csv,-2.7468,-3.5596,-0.0827,-6.3891,
中粮地产_1000031.csv,-1.3373,-4.1311,-0.1422,-5.6106,
丰山集团_0603810.csv,-0.5633,-5.7697,-0.528,-6.861000000000001,
临港B股_0900928.csv,-1.0077,-1.1716,-1.1008,-3.2801,
丹化科技_0600844.csv,-5.1282,-8.7234,-4.277,-18.1286,
丹科B股_0900921.csv,0.0,-3.9216,-0.5571,-4.4787,
九阳股份_1002242.csv,-0.7745,-1.8336,0.0,-2.6081,
云南锗业_1002428.csv,-9.8644,-1.0976,-1.3237,-12.2857,
云海金属_1002182.csv,-2.8643,-4.6318,-8.4783,-15.974400000000001,
云铝股份_1000807.csv,-5.3667,-3.1196,-0.6885,-9.1748,
五矿稀土_1000831.csv,-4.5188,-2.9245,-1.4412,-8.8845,
亚士创能_0603378.csv,-0.4242,-5.6604,-4.0066,-10.0912,
亚振家居_0603389.csv,-5.1973,-6.7325,-1.5901,-13.5199,
京山轻机_1000821.csv,-4.3432,-4.1624,-0.3036,-8.8092,
人民网_0603000.csv,-5.72,-2.4961,-0.774,-8.990100000000002,
伊戈尔_1002922.csv,-1.7979,-4.6127,-0.4709,-6.881500000000001,
伯特利_0603596.csv,-3.6804,-7.7301,-0.0893,-11.4998,
佳云科技_1300242.csv,-1.8367,-3.9216,0.0,-5.7583,
信邦制药_1002390.csv,-1.2759,-2.4883,-1.5314,-5.2956,
先达股份_0603086.csv,-8.2266,-1.7135,-1.3992,-11.3393,
先进数通_1300541.csv,0.0,-5.9685,-1.7156,-7.6841,
先锋新材_1300163.csv,-2.4752,-5.6075,-0.6961,-8.778799999999999,
光大银行_0601818.csv,-2.3866,-0.9456,-0.2358,-3.5680000000000005,
光明乳业_0600597.csv,-4.7753,-1.2939,-0.7339,-6.8031,
光明地产_0600708.csv,-0.33,-2.4155,-2.9688,-5.7143,
兰生股份_0600826.csv,-0.1582,-3.3639,-1.059,-4.5811,
兴业银行_0601166.csv,-1.5584,-0.7732,-0.0515,-2.3830999999999998,
兴源环境_1300266.csv,-8.5809,-9.9554,-3.7196,-22.255899999999997,
冀凯股份_1002691.csv,-3.9855,-8.71,-4.9266,-17.6221,
凯文教育_1002659.csv,-0.578,-4.102,-0.5513,-5.231300000000001,
分众传媒_1002027.csv,-5.6575,-6.9701,-1.1252,-13.7528,
北京城乡_0600861.csv,-0.7067,-7.3144,-0.4348,-8.4559,
北陆药业_1300016.csv,-0.74,-6.3366,-3.164,-10.2406,
华东医药_1000963.csv,-2.8768,-2.853,-1.2363,-6.9661,
华仁药业_1300110.csv,-0.3185,-6.8249,-3.7143,-10.857700000000001,
华培动力_0603121.csv,-5.6217,-2.0423,-2.6624,-10.3264,
华夏幸福_0600340.csv,-2.05,-1.3898,-0.8456,-4.2854,
华平股份_1300074.csv,-0.4184,-9.4697,-2.0408,-11.928899999999999,
华控赛格_1000068.csv,-6.9149,-8.7379,-6.3636,-22.016399999999997,
华数传媒_1000156.csv,-2.4765,-3.1431,-2.1053,-7.7249,
华林证券_1002945.csv,-6.3846,-6.5421,-1.2775,-14.2042,
华海药业_0600521.csv,-3.7827,-2.8724,-2.4756,-9.130700000000001,
华策影视_1300133.csv,-1.2097,-6.1791,-1.6129,-9.0017,
华西股份_1000936.csv,-1.8359,-5.7026,-2.0937,-9.632200000000001,
华贸物流_0603128.csv,-2.2094,-1.6068,-6.2057,-10.0219,
华资实业_0600191.csv,-0.9174,-5.0523,-5.4366,-11.4063,
华鑫股份_0600621.csv,-1.7655,-3.9349,-1.7333,-7.4337,
南京高科_0600064.csv,-1.7195,-4.6592,-2.0287,-8.4074,
南华生物_1000504.csv,-3.7258,-7.7663,-1.8881,-13.3802,
南纺股份_0600250.csv,-2.439,-3.4753,-0.7786,-6.6929,
博思软件_1300525.csv,-1.1842,-7.3882,-0.431,-9.0034,
厦门信达_1000701.csv,0.0,-6.8063,-0.7792,-7.585500000000001,
厦门港务_1000905.csv,-3.8328,-5.9016,-2.139,-11.8734,
双汇发展_1000895.csv,-3.2138,-0.3352,-0.3711,-3.9200999999999997,
双象股份_1002395.csv,-4.733,-1.0804,-0.6559,-6.4693,
合肥城建_1002208.csv,-1.007,-6.5847,-0.504,-8.095699999999999,
吉宏股份_1002803.csv,-1.2043,-4.4065,-0.4741,-6.0849,
吉药控股_1300108.csv,-4.8235,-1.9608,-1.7007,-8.485,
吉视传媒_0601929.csv,-1.4134,-3.7415,-3.2895,-8.4444,
同兴达_1002845.csv,-1.9723,-5.9649,-0.6969,-8.6341,
