A股名称,A股代码,A股查询代码,A股价格,A股涨跌幅,H股代码,H股名称,H股价格,H股涨跌幅,H股溢价率(溢价率=(H股价格*0.8545-A股价格)/A股价格*100%),
青岛啤酒,600600,0600600,48.09,-2.4544,00168,青岛啤酒股份,47.5,-1.35,-0.15025015595758
宁沪高速,600377,0600377,9.96,-1.1905000000000001,00177,江苏宁沪高速公路,10.92,-0.7270000000000001,-0.057766265060241
一拖股份,601038,0601038,5.22,-9.8446,00038,第一拖拉机股份,2.04,-1.923,-0.66414252873563
马钢股份,600808,0600808,3.84,-3.0303,00323,马鞍山钢铁股份,3.94,-1.9900000000000002,-0.11598177083333
东方航空,600115,0600115,6.8,-3.9548,00670,中国东方航空股份,5.39,-2.883,-0.32006294117647
新华制药,000756,1000756,7.81,-8.8681,00719,山东新华制药股份,4.27,-5.322,-0.53013597951344
深高速,600548,0600548,10.33,-1.1483,00548,深圳高速公路股份,9.71,-0.20600000000000002,-0.19550842207164
郑煤机,601717,0601717,6.1,-3.6334999999999997,00564,郑煤机,3.82,-1.036,-0.45759180327869
中远海能,600026,0600026,6.41,-7.5036000000000005,01138,中远海能,5.1,-4.494,-0.31757472698908
海信家电,000921,1000921,13.2,-3.8602,00921,海信科龙,10.22,-6.066,-0.3307096969697
南方航空,600029,0600029,8.2,-1.9139,01055,中国南方航空股份,6.7,-3.458,-0.29780731707317
浙江世宝,002703,1002703,6.11,-8.806,01057,浙江世宝,1.31,-6.429,-0.81574238952537
华电国际,600027,0600027,4.37,-1.3544,01071,华电国际电力股份,3.58,0.845,-0.2998938215103
东方电气,600875,0600875,12.26,-8.5075,01072,东方电气,6.02,-5.79,-0.57730978792822
绿色动力,601330,0601330,13.49,-6.1892000000000005,01330,绿色动力环保,3.92,-2.244,-0.75027071905115
丽珠集团,000513,1000513,32.88,-1.5864,01513,丽珠医药,27.7,-1.248,-0.27991271289538
美凯龙,601828,0601828,12.06,-3.2103,01528,红星美凯龙,7.37,-0.271,-0.47481111111111
中国中冶,601618,0601618,3.42,-3.9326,01618,中国中冶,2.19,-1.794,-0.45219532163743
晨鸣纸业,000488,1000488,6.16,-3.9002000000000003,01812,晨鸣纸业,4.19,-0.946,-0.41544058441558
中煤能源,601898,0601898,5.2,-2.439,01898,中煤能源,3.59,1.989,-0.40668346153846
中远海控,601919,0601919,5.63,-4.7377,01919,中远海控,3.64,-4.462,-0.44436660746004
金隅集团,601992,0601992,4,-2.6764,02009,金隅股份,2.76,-2.473,-0.411311
复星医药,600196,0600196,28.58,-1.9218,02196,复星医药,27.65,-2.297,-0.17006857942617
金风科技,002202,1002202,12.12,-3.1948999999999996,02208,金风科技,8.75,-2.993,-0.37955858085809
中国铝业,601600,0601600,4.24,-2.9748,02600,中国铝业,3.15,-2.477,-0.36153066037736
上海医药,601607,0601607,19.81,-2.4618,02607,上海医药,16.24,-1.456,-0.29634184755174
上海电气,601727,0601727,6.2,-6.6265,02727,上海电气,3.04,-2.251,-0.57861677419355
中远海发,601866,0601866,3.33,-4.0346,02866,中远海发,1.09,-0.909,-0.71869489489489
大连港,601880,0601880,2.28,-3.3897999999999997,02880,大连港,1.03,-0.962,-0.61176228070175
中海油服,601808,0601808,10.24,-3.5782000000000003,02883,中海油田服务,8.86,1.257,-0.256417578125
紫金矿业,601899,0601899,3.39,-2.8653,02899,紫金矿业,3.22,-0.923,-0.1811616519174
东方证券,600958,0600958,11.46,-3.0457,03958,东方证券,5.91,-2.956,-0.55755148342059
上海石化,600688,0600688,5.41,-2.6978,00338,上海石油化工股份,3.69,-0.8059999999999999,-0.41382883548983
招商证券,600999,0600999,17.45,-3.0556,06099,招商证券,10.74,-2.186,-0.47106269340974
拉夏贝尔,603157,0603157,8.11,-4.5882,06116,拉夏贝尔,4.41,-0.451,-0.5326813810111
光大证券,601788,0601788,12.59,-4.4039,06178,光大证券,7.66,-1.2890000000000001,-0.47780698967434
光大银行,601818,0601818,4.19,-0.9456000000000001,06818,中国光大银行,3.84,-1.2850000000000001,-0.21238758949881
长飞光纤,601869,0601869,43.01,-6.0507,06869,长飞光纤光缆,20.3,-4.471,-0.59337851662404
